Wall time,Step,Value
1620186586.43265,1,0.18970000743865967
1620186605.5000594,2,0.19280000030994415
1620186624.2529635,3,0.25870001316070557
1620186643.148584,4,0.3215000033378601
1620186661.9757164,5,0.3472000062465668
1620186681.0958443,6,0.38420000672340393
1620186700.2792156,7,0.4108999967575073
1620186719.3099926,8,0.4120999872684479
1620186738.5848045,9,0.4390999972820282
1620186757.4257197,10,0.461899995803833
1620186776.4036329,11,0.46230000257492065
1620186795.3781247,12,0.482699990272522
1620186814.3960443,13,0.4943999946117401
1620186833.4009447,14,0.5092999935150146
1620186852.6664302,15,0.5148000121116638
1620186871.562111,16,0.5249000191688538
1620186890.532044,17,0.5273000001907349
1620186909.5475898,18,0.5385000109672546
1620186928.7105865,19,0.5476999878883362
1620186947.6374266,20,0.5497000217437744
1620186966.704999,21,0.5575000047683716
1620186985.6453466,22,0.5569000244140625
1620187004.7296758,23,0.572700023651123
1620187023.89064,24,0.5820000171661377
1620187042.8946836,25,0.5825999975204468
1620187061.9202626,26,0.5896999835968018
1620187081.225072,27,0.6004999876022339
1620187100.2143471,28,0.6025999784469604
1620187119.4020982,29,0.6093000173568726
1620187138.4675095,30,0.6172000169754028
1620187157.332326,31,0.6233000159263611
1620187176.3979602,32,0.6295999884605408
1620187195.3051307,33,0.6316999793052673
1620187215.1569526,34,0.6348000168800354
1620187234.4613237,35,0.6363000273704529
1620187253.595551,36,0.6337000131607056
1620187272.5090969,37,0.6435999870300293
1620187291.5608659,38,0.6517000198364258
1620187310.4662106,39,0.6585000157356262
1620187329.5039587,40,0.6593999862670898
1620187348.5281029,41,0.6592000126838684
1620187367.6546068,42,0.6639000177383423
1620187386.8456771,43,0.6650000214576721
1620187405.9446623,44,0.6657000184059143
1620187425.0177896,45,0.6751999855041504
1620187443.9167225,46,0.6782000064849854
1620187462.8770602,47,0.6801000237464905
1620187481.7573614,48,0.6862000226974487
1620187500.765017,49,0.6855999827384949
1620187519.546119,50,0.6789000034332275
1620187538.534543,51,0.6908000111579895
1620187557.3434668,52,0.6686999797821045
1620187576.4173744,53,0.6886000037193298
1620187595.2818213,54,0.6973999738693237
1620187614.2643027,55,0.6972000002861023
1620187633.204007,56,0.7002000212669373
1620187652.5362434,57,0.7055000066757202
1620187671.6121292,58,0.707099974155426
1620187690.696847,59,0.7017999887466431
1620187709.6148543,60,0.7074999809265137
1620187729.0588336,61,0.7128999829292297
1620187748.449665,62,0.7117999792098999
1620187767.313266,63,0.7092000246047974
1620187782.381387,64,0.711899995803833
1620187797.277013,65,0.718500018119812
1620187812.3264236,66,0.7174000144004822
1620187827.3094726,67,0.7225000262260437
1620187842.1974971,68,0.7152000069618225
1620187857.1375685,69,0.7128000259399414
1620187872.0930743,70,0.7127000093460083
1620187886.8908658,71,0.722000002861023
1620187901.720838,72,0.7247999906539917
1620187916.5832584,73,0.7217000126838684
1620187931.4443824,74,0.722000002861023
1620187946.3246071,75,0.7253000140190125
1620187961.1662903,76,0.7170000076293945
1620187976.0109882,77,0.7243000268936157
1620187990.8711646,78,0.7247999906539917
1620188005.7151172,79,0.7243000268936157
1620188020.590152,80,0.7228999733924866
1620188035.4523008,81,0.7156999707221985
1620188050.3150432,82,0.7319999933242798
1620188065.1913493,83,0.7211999893188477
1620188080.0380595,84,0.7268000245094299
1620188094.9003513,85,0.7211999893188477
1620188109.7783666,86,0.7343000173568726
1620188124.6059906,87,0.7279999852180481
1620188139.435018,88,0.7317000031471252
1620188154.2324688,89,0.7200000286102295
1620188169.077148,90,0.7343999743461609
1620188183.8944743,91,0.7279999852180481
1620188198.8189335,92,0.7272999882698059
1620188213.7419343,93,0.733299970626831
1620188228.66977,94,0.7297999858856201
1620188243.608601,95,0.7208999991416931
1620188258.4924328,96,0.7301999926567078
1620188273.3742557,97,0.732699990272522
1620188288.2380507,98,0.7283999919891357
1620188303.152403,99,0.7294999957084656
1620188318.0402935,100,0.7307000160217285
