Wall time,Step,Value
1620184168.6141698,1,0.3463999927043915
1620184207.1637723,2,0.4169999957084656
1620184242.7759552,3,0.4542999863624573
1620184280.2599065,4,0.48240000009536743
1620184315.7409494,5,0.4950999915599823
1620184351.3340082,6,0.5105000138282776
1620184387.3371408,7,0.5216000080108643
1620184422.9755645,8,0.52920001745224
1620184458.5984428,9,0.5356000065803528
1620184494.2436569,10,0.5325999855995178
1620184529.8296666,11,0.5437999963760376
1620184565.7283313,12,0.5472999811172485
1620184601.543854,13,0.5532000064849854
1620184637.2475438,14,0.5558000206947327
1620184672.966223,15,0.5604000091552734
1620184708.734257,16,0.560699999332428
1620184744.4918792,17,0.5636000037193298
1620184780.142765,18,0.5690000057220459
1620184815.9136043,19,0.573199987411499
1620184851.628484,20,0.579200029373169
1620184887.4400725,21,0.5794000029563904
1620184923.333981,22,0.5824999809265137
1620184959.0514164,23,0.5817000269889832
1620184994.7561421,24,0.5841000080108643
1620185030.5132225,25,0.5814999938011169
1620185066.6694577,26,0.5914000272750854
1620185102.4463568,27,0.5936999917030334
1620185138.5518098,28,0.5953999757766724
1620185174.6735933,29,0.5928000211715698
1620185210.8391964,30,0.5996000170707703
1620185247.0096312,31,0.6003999710083008
1620185283.0369618,32,0.5985999703407288
1620185319.0179002,33,0.5981000065803528
1620185355.1723518,34,0.6025000214576721
1620185391.177065,35,0.6003999710083008
1620185427.2213573,36,0.603600025177002
1620185463.3171844,37,0.6021999716758728
1620185499.5458548,38,0.6083999872207642
1620185535.993665,39,0.6060000061988831
1620185573.9364767,40,0.6055999994277954
1620185610.9480968,41,0.6104000210762024
1620185646.9811375,42,0.6118999719619751
1620185684.284108,43,0.613099992275238
1620185719.1934702,44,0.6118000149726868
1620185751.2682354,45,0.6119999885559082
1620185782.67507,46,0.6172000169754028
1620185814.0238354,47,0.618399977684021
1620185845.2870283,48,0.6159999966621399
1620185876.4758115,49,0.6190999746322632
1620185907.5872693,50,0.6172000169754028
