Step,Value
464,0.9843
465,0.9849
466,0.9849
467,0.9851
468,0.9848
469,0.985
470,0.9846
471,0.9853
472,0.985
473,0.985
474,0.9848
475,0.9844
476,0.982
477,0.9841
478,0.9847
479,0.9853
480,0.9851
481,0.9844
482,0.9853
483,0.9841
484,0.9839
485,0.985
486,0.9843
487,0.9846
488,0.9844
489,0.9829
490,0.9852
491,0.9851
492,0.9857
493,0.9841
494,0.9854
495,0.9859
496,0.9845
497,0.9792
498,0.9848
499,0.9845
500,0.9569
501,0.9753
502,0.9817
503,0.9828
504,0.9845
505,0.9846
506,0.9841
507,0.9855
508,0.9854
509,0.9857
510,0.9854
511,0.985
512,0.9847
513,0.9854
514,0.9843
515,0.9854
516,0.985
517,0.9851
518,0.9861
519,0.9857
520,0.9859
521,0.9831
522,0.984
523,0.9851
524,0.9861
525,0.9861
526,0.9864
527,0.9856
528,0.9857
529,0.9854
530,0.9857
531,0.9853
532,0.9836
533,0.9852
534,0.9851
535,0.9847
536,0.9847
537,0.9858
538,0.9847
539,0.9854
540,0.9859
541,0.9854
542,0.9857
543,0.9857
544,0.985
545,0.9864
546,0.986
547,0.9849
548,0.9855
549,0.9854
550,0.9858
551,0.9865
552,0.9862
553,0.986
554,0.9855
555,0.9855
556,0.9856
557,0.9859
558,0.9855
559,0.9861
560,0.9854
561,0.9858
562,0.986
563,0.9859
564,0.9851
565,0.9868
566,0.9861
567,0.9855
568,0.9851
569,0.9863
570,0.9864
571,0.9859
572,0.9859
573,0.9859
574,0.9866
575,0.9855
576,0.9857
577,0.9858
578,0.9858
579,0.987
580,0.9865
581,0.9867
582,0.9854
583,0.9749
584,0.9622
585,0.9718
586,0.9772
587,0.982
588,0.9835
589,0.9857
590,0.9862
591,0.9859
592,0.9862
593,0.9865
594,0.9865
595,0.986
596,0.9858
597,0.9867
598,0.9862
599,0.9853
600,0.9854
601,0.9862
602,0.986
603,0.9858
604,0.9855
605,0.986
606,0.9863
607,0.9862
608,0.9863
609,0.9863
610,0.986
611,0.9865
612,0.987
613,0.9871
614,0.9865
615,0.9861
616,0.9865
617,0.9857
618,0.9857
619,0.9863
620,0.9866
621,0.9868
622,0.9873
623,0.9861
624,0.9862
625,0.9858
626,0.9859
627,0.9861
628,0.9869
629,0.986
630,0.9863
631,0.9864
632,0.9863
633,0.986
634,0.9874
635,0.9864
636,0.9855
637,0.9867
638,0.9858
639,0.9865
640,0.9861
641,0.9862
642,0.987
643,0.9874
644,0.9866
645,0.9872
646,0.9861
647,0.9873
648,0.9872
649,0.987
650,0.987
651,0.9866
652,0.9869
653,0.9864
654,0.9866
655,0.986
656,0.9862
657,0.9871
658,0.9872
659,0.9863
660,0.9846
661,0.9876
662,0.9872
663,0.9863
664,0.9867
665,0.986
666,0.9864
667,0.9873
668,0.9868
669,0.9862
670,0.9874
671,0.9871
672,0.9868
673,0.9878
674,0.9875
675,0.9872
676,0.9871
677,0.9855
678,0.9871
679,0.9878
680,0.987
681,0.986
682,0.9864
683,0.9872
684,0.987
685,0.9866
686,0.9869
687,0.9869
688,0.9873
689,0.9865
690,0.9875
691,0.9876
692,0.9871
693,0.9873
694,0.9873
695,0.9878
696,0.9873
697,0.9873
698,0.9876
699,0.9858
700,0.9868
701,0.9869
702,0.9876
703,0.9872
704,0.9878
705,0.9875
706,0.9872
707,0.9874
708,0.9869
709,0.9877
710,0.9873
711,0.9883
712,0.988
713,0.9878
714,0.9871
715,0.9876
716,0.9874
717,0.987
718,0.9643
719,0.9809
720,0.9844
721,0.9871
722,0.9864
723,0.9873
724,0.9861
725,0.9864
726,0.9866
727,0.9872
728,0.9868
729,0.9864
730,0.9867
731,0.9874
732,0.987
733,0.9863
734,0.9867
735,0.9877
736,0.9873
737,0.9878
738,0.9875
739,0.987
740,0.9866
741,0.9871
742,0.9873
743,0.9866
744,0.9865
745,0.9868
746,0.9872
747,0.9876
748,0.9871
749,0.9867
750,0.9878
751,0.9874
752,0.9872
753,0.9881
754,0.9867
755,0.9876
756,0.9877
757,0.9875
758,0.9876
759,0.9872
760,0.987
761,0.9872
762,0.9872
763,0.9869
764,0.987
765,0.9872
766,0.987
767,0.9872
768,0.9877
769,0.988
770,0.988
771,0.9879
772,0.9879
773,0.9872
774,0.988
775,0.9881
776,0.9886
777,0.9876
778,0.9887
779,0.9879
780,0.9867
781,0.9881
782,0.9883
783,0.9881
784,0.9879
785,0.9881
786,0.9877
787,0.9874
788,0.9881
789,0.988
790,0.9883
791,0.9878
792,0.988
793,0.9877
794,0.9884
795,0.9873
796,0.9879
797,0.9888
798,0.988
799,0.9878
800,0.9881
801,0.9885
802,0.9876
803,0.9874
804,0.9878
805,0.9876
806,0.9861
807,0.9876
808,0.9878
809,0.9878
810,0.9877
811,0.9878
812,0.9883
813,0.9879
814,0.9872
815,0.9873
816,0.9875
817,0.9887
818,0.9878
819,0.9882
820,0.988
821,0.987
822,0.9875
823,0.9863
824,0.9866
825,0.9871
826,0.9872
827,0.9885
828,0.9879
829,0.9877
830,0.9886
831,0.9878
832,0.9876
833,0.9881
834,0.9884
835,0.9889
836,0.9886
837,0.9887
838,0.988
839,0.988
840,0.9885
841,0.9876
842,0.9879
843,0.9879
844,0.9877
845,0.9885
846,0.9875
847,0.9872
848,0.9882
849,0.9878
850,0.9887
851,0.9886
852,0.989
853,0.9889
854,0.9886
855,0.9887
856,0.9877
857,0.9876
858,0.9883
859,0.9884
860,0.9887
861,0.9876
862,0.9889
863,0.9889
864,0.9891
865,0.9879
866,0.9886
867,0.9893
868,0.9889
869,0.9879
870,0.9873
871,0.985
872,0.9892
873,0.9889
874,0.9887
875,0.988
876,0.9885
877,0.9884
878,0.9884
879,0.9889
880,0.9883
881,0.988
882,0.9878
883,0.9879
884,0.9893
885,0.9884
886,0.9884
887,0.9882
888,0.9881
889,0.9882
890,0.9884
891,0.9889
892,0.9888
893,0.9886
894,0.9884
895,0.9887
896,0.9887
897,0.9882
898,0.988
899,0.9891
900,0.9888
901,0.9891
902,0.9886
903,0.9879
904,0.9891
905,0.988
906,0.9878
907,0.9886
908,0.9882
909,0.9884
910,0.9884
911,0.988
912,0.9881
913,0.9888
914,0.9886
915,0.9721
916,0.987
917,0.9884
918,0.9896
919,0.9895
920,0.9893
921,0.9885
922,0.9888
923,0.9891
924,0.9886
925,0.9884
926,0.9879
927,0.9882
928,0.9883
929,0.9881
930,0.9881
931,0.9885
932,0.9886
933,0.9884
934,0.9891
935,0.9885
936,0.9885
937,0.9883
938,0.9881
939,0.9876
940,0.9883
941,0.9883
942,0.989
943,0.9889
944,0.9885
945,0.988
946,0.9883
947,0.9891
948,0.9882
949,0.9888
950,0.9889
951,0.9879
952,0.9891
953,0.9885
954,0.9888
955,0.9886
956,0.9885
957,0.9884
958,0.989
959,0.9883
960,0.9881
961,0.9881
962,0.9876
963,0.9876
964,0.9879
965,0.9872
966,0.9878
967,0.9879
968,0.9865
969,0.9879
970,0.9891
971,0.99
972,0.9892
973,0.9891
974,0.989
975,0.9888
976,0.9894
977,0.9892
978,0.9896
979,0.9889
980,0.9883
981,0.9886
982,0.9884
983,0.9889
984,0.9885
985,0.9886
986,0.9893
987,0.9891
988,0.9895
989,0.9891
990,0.9892
991,0.9893
992,0.9887
993,0.9881
994,0.9887
995,0.9883
996,0.9878
997,0.9883
998,0.9883
999,0.9888
1000,0.9888
1001,0.9891
1002,0.9887
1003,0.9882
1004,0.9887
1005,0.9886
1006,0.9886
1007,0.9893
1008,0.9895
1009,0.9882
1010,0.9887
1011,0.9885
1012,0.9886
1013,0.9888
1014,0.9889
1015,0.9886
1016,0.9888
1017,0.9889
1018,0.9887
1019,0.9886
1020,0.989
1021,0.989
1022,0.989
1023,0.988
1024,0.9879
1025,0.9894
1026,0.9895
1027,0.99
1028,0.9893
1029,0.9884
1030,0.9891
1031,0.9888
1032,0.9884
1033,0.9885
1034,0.9886
1035,0.9883
1036,0.9891
1037,0.9888
1038,0.9882
1039,0.9891
1040,0.9892
1041,0.9896
1042,0.989
1043,0.9889
1044,0.9885
1045,0.9793
1046,0.9887
1047,0.9887
1048,0.9888
1049,0.9895
1050,0.9897
1051,0.9894
1052,0.9892
1053,0.9896
1054,0.989
1055,0.9885
1056,0.989
1057,0.9889
1058,0.9889
1059,0.9885
1060,0.9892
1061,0.9894
1062,0.9892
1063,0.9893
1064,0.9889
1065,0.9894
1066,0.9891
1067,0.9894
1068,0.9883
1069,0.9885
1070,0.9892
1071,0.9889
1072,0.9887
1073,0.9888
1074,0.9891
1075,0.9894
1076,0.9891
1077,0.989
1078,0.9896
1079,0.9894
