Step,Value
1,0.1135
2,0.2263
3,0.1884
4,0.2417
5,0.2934
6,0.325
7,0.5078
8,0.5395
9,0.5641
10,0.6002
11,0.7184
12,0.5836
13,0.6447
14,0.7286
15,0.7667
16,0.7853
17,0.8012
18,0.8515
19,0.8048
20,0.8287
21,0.7766
22,0.8275
23,0.8684
24,0.8045
25,0.8759
26,0.8863
27,0.838
28,0.8554
29,0.8736
30,0.8775
31,0.8603
32,0.8607
33,0.8942
34,0.8725
35,0.8552
36,0.8895
37,0.8736
38,0.8599
39,0.8865
40,0.8794
41,0.9166
42,0.9072
43,0.8992
44,0.9035
45,0.9097
46,0.9169
47,0.9135
48,0.925
49,0.9186
50,0.9129
51,0.925
52,0.9325
53,0.9356
54,0.9164
55,0.9323
56,0.9341
57,0.9232
58,0.919
59,0.9197
60,0.9183
61,0.9299
62,0.9348
63,0.9338
64,0.9348
65,0.931
66,0.9355
67,0.9395
68,0.938
69,0.9396
70,0.9442
71,0.934
72,0.9345
73,0.9421
74,0.9177
75,0.8943
76,0.9359
77,0.9473
78,0.9468
79,0.9406
80,0.93
81,0.9482
82,0.9508
83,0.9492
84,0.9447
85,0.9472
86,0.9506
87,0.9493
88,0.9524
89,0.9528
90,0.9509
91,0.9451
92,0.9446
93,0.9448
94,0.9511
95,0.9374
96,0.9429
97,0.9552
98,0.9286
99,0.9517
100,0.9549
101,0.9506
102,0.9586
103,0.9567
104,0.9474
105,0.9547
106,0.9452
107,0.9356
108,0.9589
109,0.954
110,0.9506
111,0.9571
112,0.9592
113,0.9593
114,0.961
115,0.956
116,0.9561
117,0.9586
118,0.9601
119,0.96
120,0.9502
121,0.9495
122,0.9579
123,0.9589
124,0.9639
125,0.9604
126,0.9578
127,0.9605
128,0.9621
129,0.963
130,0.961
131,0.9621
132,0.9552
133,0.9586
134,0.9606
135,0.9537
136,0.9561
137,0.9563
138,0.9587
139,0.9635
140,0.958
141,0.9601
142,0.9653
143,0.9652
144,0.96
145,0.9563
146,0.9623
147,0.9585
148,0.9652
149,0.9661
150,0.9611
151,0.962
152,0.9592
153,0.9662
154,0.9691
155,0.962
156,0.9608
157,0.9602
158,0.9632
159,0.9582
160,0.9645
161,0.968
162,0.9638
163,0.969
164,0.967
165,0.9694
166,0.9664
167,0.9679
168,0.971
169,0.9452
170,0.9664
171,0.9654
172,0.9681
173,0.9663
174,0.9687
175,0.9709
176,0.9703
177,0.9696
178,0.9697
179,0.9705
180,0.9675
181,0.9703
182,0.9696
183,0.9717
184,0.9697
185,0.9686
186,0.9645
187,0.9724
188,0.9717
189,0.9699
190,0.9702
191,0.9703
192,0.9672
193,0.9701
194,0.971
195,0.9411
196,0.965
197,0.9652
198,0.973
199,0.9716
200,0.9692
201,0.9699
202,0.9682
203,0.9742
204,0.974
205,0.9726
206,0.966
207,0.9695
208,0.9721
209,0.9719
210,0.9734
211,0.9735
212,0.9735
213,0.9735
214,0.9712
215,0.9751
216,0.9519
217,0.9711
218,0.9578
219,0.9708
220,0.9726
221,0.9734
222,0.9729
223,0.9726
224,0.9736
225,0.971
226,0.9735
227,0.9712
228,0.9686
229,0.9693
230,0.9668
231,0.973
232,0.9713
233,0.9756
234,0.9746
235,0.9747
236,0.9731
237,0.9752
238,0.976
239,0.9756
240,0.9743
241,0.9686
242,0.9763
243,0.9556
244,0.9755
245,0.977
246,0.9758
247,0.9743
248,0.9774
249,0.977
250,0.9758
251,0.9773
252,0.9752
253,0.9735
254,0.974
255,0.9766
256,0.9723
257,0.9732
258,0.9761
259,0.9762
260,0.9762
261,0.9773
262,0.9773
263,0.9755
264,0.9749
265,0.9746
266,0.9784
267,0.9722
268,0.9688
269,0.9697
270,0.9695
271,0.9755
272,0.9784
273,0.978
274,0.9786
275,0.9769
276,0.977
277,0.9761
278,0.9741
279,0.9783
280,0.9747
281,0.9785
282,0.9784
283,0.9776
284,0.9791
285,0.9785
286,0.9775
287,0.9778
288,0.9792
289,0.9788
290,0.9771
291,0.9779
292,0.9782
293,0.9758
294,0.9761
295,0.9793
296,0.9787
297,0.9785
298,0.9773
299,0.9768
300,0.9762
301,0.9801
302,0.9796
303,0.9788
304,0.9784
305,0.9659
306,0.9783
307,0.9787
308,0.9784
309,0.9746
310,0.978
311,0.9774
312,0.9792
313,0.9812
314,0.9796
315,0.9777
316,0.9788
317,0.98
318,0.9779
319,0.9787
320,0.9793
321,0.9779
322,0.9804
323,0.9792
324,0.98
325,0.9802
326,0.9811
327,0.9789
328,0.9804
329,0.9808
330,0.9807
331,0.9781
332,0.9795
333,0.9813
334,0.9804
335,0.9758
336,0.9808
337,0.9817
338,0.9789
339,0.9785
340,0.9815
341,0.9811
342,0.9798
