Epoch,Training loss,Test loss,Test acc
1,0.2882,0.2079,0.938
2,0.0368,0.1534,0.9626
3,0.0416,0.1734,0.9505
4,0.0183,0.1029,0.9726
5,0.0149,0.0925,0.9757
6,0.0156,0.0809,0.9776
7,0.0094,0.0751,0.9798
8,0.0114,0.0725,0.9806
9,0.0094,0.0692,0.9811
10,0.0101,0.0598,0.9829
11,0.0077,0.0572,0.9833
12,0.0067,0.0561,0.9835
13,0.008,0.0538,0.9842
14,0.0098,0.0537,0.9839
15,0.0049,0.0514,0.9855
16,0.0054,0.0478,0.9868
17,0.0045,0.0475,0.987
18,0.006,0.0467,0.9868
19,0.0055,0.0421,0.9881
20,0.0059,0.0414,0.9888
21,0.0043,0.0414,0.9885
22,0.0033,0.0412,0.989
23,0.0055,0.0393,0.9888
24,0.0041,0.0399,0.9894
25,0.0043,0.0395,0.9891
26,0.0037,0.0406,0.9889
27,0.004,0.0385,0.9896
28,0.0047,0.0388,0.9891
29,0.0033,0.04,0.989
30,0.0042,0.0388,0.9896
31,0.003,0.0385,0.9893
32,0.0046,0.0384,0.989
33,0.0034,0.0377,0.9896
34,0.0028,0.0375,0.9889
35,0.0037,0.0385,0.9894
36,0.0039,0.0383,0.9895
37,0.0032,0.0371,0.99
38,0.0025,0.0378,0.9899
39,0.0035,0.0383,0.9892
40,0.0031,0.0362,0.9898
41,0.0027,0.0363,0.99
42,0.0039,0.0365,0.9893
43,0.0026,0.036,0.9902
44,0.0034,0.0356,0.9901
45,0.0021,0.035,0.9901
46,0.0027,0.0343,0.9904
47,0.0025,0.0353,0.9897
48,0.003,0.0351,0.9901
49,0.0018,0.0356,0.9902
50,0.0035,0.035,0.9899
51,0.0024,0.0358,0.9897
52,0.0027,0.0352,0.9903
53,0.0023,0.0368,0.9897
54,0.0026,0.0353,0.9901
55,0.0015,0.0353,0.9898
56,0.0023,0.0352,0.9901
57,0.0028,0.0352,0.9898
58,0.0021,0.0351,0.9902
59,0.0014,0.0342,0.9909
60,0.0019,0.0341,0.9905
61,0.0016,0.035,0.99
62,0.002,0.0341,0.9901
63,0.0021,0.0333,0.99
64,0.0022,0.0327,0.9905
65,0.0022,0.0331,0.9905
66,0.0015,0.0347,0.9907
67,0.0021,0.0342,0.9904
68,0.0011,0.0336,0.9901
69,0.0027,0.0328,0.9899
70,0.0021,0.0324,0.9904
71,0.0011,0.0325,0.9905
72,0.0013,0.0336,0.9901
73,0.0018,0.0343,0.9909
74,0.0021,0.0331,0.9912
75,0.0012,0.0343,0.9905
76,0.0037,0.0342,0.99
77,0.0009,0.034,0.9902
78,0.0015,0.0334,0.9906
79,0.0008,0.0344,0.9905
80,0.0012,0.0337,0.9903
81,0.0008,0.0337,0.9904
82,0.0029,0.0322,0.9909
83,0.0009,0.0333,0.9906
84,0.0017,0.0341,0.9908
85,0.0009,0.032,0.9907
86,0.0016,0.0325,0.991
87,0.0013,0.032,0.9908
88,0.0013,0.0329,0.9909
89,0.0008,0.0333,0.9908
