Epoch,Training loss,Test loss,Test acc,Time,,,,,,,,,
119,0.2987,1.8399,0.5456,,,,,,,,,,
120,0.2873,1.8737,0.5495,,,,,,,,,,
121,0.3165,1.8465,0.5481,,,,,,,,,,
122,0.3038,1.8439,0.5488,,,,,,,,,,
123,0.3067,1.844,0.5485,,,,,,,,,,
124,0.2992,1.8347,0.5506,,,,,,,,,,
125,0.2703,1.8758,0.5518,,,,,,,,,,
126,0.3407,1.8288,0.5464,,,,,,,,,,
127,0.304,1.8409,0.5518,,,,,,,,,,
128,0.3142,1.8219,0.5497,,,,,,,,,,
129,0.3014,1.8589,0.5508,,,,,,,,,,
130,0.2813,1.8414,0.5508,,,,,,,,,,
131,0.3118,1.835,0.5498,,,,,,,,,,
132,0.3509,1.83,0.5507,,,,,,,,,,
133,0.2714,1.8787,0.5522,,,,,,,,,,
134,0.3238,1.8439,0.548,,,,,,,,,,
135,0.2452,1.886,0.5498,,,,,,,,,,
136,0.2931,1.8816,0.5455,,,,,,,,,,
137,0.2688,1.9042,0.5476,,,,,,,,,,
138,0.3298,1.8526,0.5491,,,,,,,,,,
139,0.2561,1.8957,0.5482,,,,,,,,,,
140,0.3156,1.8771,0.5487,,,,,,,,,,
141,0.308,1.8668,0.55,,,,,,,,,,
142,0.2747,1.8739,0.5477,,,,,,,,,,
143,0.275,1.8992,0.5517,,,,,,,,,,
144,0.2825,1.912,0.5465,,,,,,,,,,
145,0.2883,1.8931,0.5478,,,,,,,,,,
146,0.2828,1.9105,0.5492,,,,,,,,,,
147,0.3035,1.8887,0.5473,,,,,,,,,,
148,0.2707,1.9095,0.5461,,,,,,,,,,
149,0.2917,1.9056,0.5444,,,,,,,,,,
150,0.2474,1.9498,0.5452,,,,,,,,,,
151,0.2503,1.9552,0.5469,,,,,,,,,,
152,0.2635,1.9517,0.5483,,,,,,,,,,
153,0.2971,1.9207,0.5439,,,,,,,,,,
154,0.2905,1.9139,0.5455,,,,,,,,,,
155,0.267,1.9481,0.5444,,,,,,,,,,
156,0.2183,1.9913,0.5454,,,,,,,,,,
157,0.2799,1.9645,0.5459,,,,,,,,,,
158,0.2458,1.9723,0.5453,,,,,,,,,,
159,0.2659,1.9519,0.5458,,,,,,,,,,
160,0.2426,1.9725,0.5476,,,,,,,,,,
161,0.2775,1.9693,0.5473,,,,,,,,,,
162,0.2247,1.9923,0.5429,,,,,,,,,,
163,0.2288,1.9929,0.5453,,,,,,,,,,
164,0.2763,1.9586,0.5493,,,,,,,,,,
165,0.2356,1.9921,0.5454,,,,,,,,,,
