Epoch,Training loss,Test loss,Test acc,Time,,,,,,,,,
519,0.3506,2.4868,0.5245,,,,,,,,,,
520,0.3908,2.4893,0.5251,,,,,,,,,,
521,0.3454,2.4897,0.5257,,,,,,,,,,
522,0.3972,2.475,0.5248,,,,,,,,,,
523,0.3816,2.4763,0.5248,,,,,,,,,,
524,0.3624,2.4769,0.5243,,,,,,,,,,
525,0.416,2.4804,0.5233,,,,,,,,,,
526,0.4181,2.4802,0.5252,,,,,,,,,,
527,0.347,2.4843,0.5255,,,,,,,,,,
528,0.3805,2.4797,0.524,,,,,,,,,,
529,0.3875,2.4805,0.5268,,,,,,,,,,
530,0.3456,2.4871,0.5261,,,,,,,,,,
531,0.4163,2.4782,0.5259,,,,,,,,,,
532,0.3832,2.477,0.5262,,,,,,,,,,
533,0.4383,2.4771,0.525,,,,,,,,,,
534,0.3809,2.4788,0.5272,,,,,,,,,,
535,0.4264,2.4691,0.5278,,,,,,,,,,
536,0.3824,2.4781,0.5248,,,,,,,,,,
537,0.3608,2.4767,0.5258,,,,,,,,,,
538,0.4404,2.4779,0.5247,,,,,,,,,,
539,0.3925,2.4739,0.5252,,,,,,,,,,
540,0.4048,2.4719,0.5243,,,,,,,,,,
541,0.3802,2.4769,0.5234,,,,,,,,,,
542,0.398,2.4755,0.5243,,,,,,,,,,
543,0.4088,2.4713,0.525,,,,,,,,,,
544,0.3567,2.4757,0.526,,,,,,,,,,
545,0.3956,2.4705,0.5242,,,,,,,,,,
546,0.358,2.4784,0.5257,,,,,,,,,,
547,0.4286,2.4738,0.5252,,,,,,,,,,
548,0.3961,2.4745,0.5257,,,,,,,,,,
549,0.4025,2.4753,0.5259,,,,,,,,,,
550,0.4266,2.4674,0.5252,,,,,,,,,,
551,0.4043,2.4685,0.5252,,,,,,,,,,
552,0.4205,2.4679,0.5266,,,,,,,,,,
553,0.3867,2.4686,0.5258,,,,,,,,,,
554,0.4235,2.4715,0.5253,,,,,,,,,,
555,0.3784,2.4704,0.5263,,,,,,,,,,
556,0.4438,2.4602,0.5261,,,,,,,,,,
557,0.4024,2.4549,0.5266,,,,,,,,,,
558,0.4072,2.4541,0.5248,,,,,,,,,,
559,0.4547,2.4521,0.524,,,,,,,,,,
560,0.3997,2.4617,0.5262,,,,,,,,,,
561,0.4184,2.4628,0.5248,,,,,,,,,,
562,0.4041,2.4645,0.5236,,,,,,,,,,
563,0.405,2.4621,0.5269,,,,,,,,,,
564,0.4283,2.4618,0.5252,,,,,,,,,,
565,0.4471,2.4594,0.5267,,,,,,,,,,
566,0.4075,2.4502,0.5262,,,,,,,,,,
567,0.4082,2.4536,0.5273,,,,,,,,,,
568,0.4445,2.454,0.5256,,,,,,,,,,
569,0.4167,2.4511,0.5259,,,,,,,,,,
570,0.4048,2.4532,0.5246,,,,,,,,,,
571,0.4415,2.4533,0.5242,,,,,,,,,,
572,0.4123,2.4578,0.5249,,,,,,,,,,
573,0.3978,2.4626,0.5239,,,,,,,,,,
574,0.3936,2.4604,0.5239,,,,,,,,,,
575,0.4105,2.4558,0.5254,,,,,,,,,,
576,0.433,2.4535,0.5264,,,,,,,,,,
577,0.4529,2.4476,0.5248,,,,,,,,,,
578,0.4056,2.4513,0.5256,,,,,,,,,,
579,0.3742,2.4543,0.5268,,,,,,,,,,
580,0.4165,2.4517,0.5263,,,,,,,,,,
581,0.4112,2.4516,0.5256,,,,,,,,,,
582,0.449,2.4442,0.5272,,,,,,,,,,
583,0.4414,2.4396,0.5265,,,,,,,,,,
584,0.4037,2.4515,0.5245,,,,,,,,,,
585,0.4872,2.4479,0.5259,,,,,,,,,,
586,0.455,2.4494,0.5257,,,,,,,,,,
587,0.4615,2.4459,0.5251,,,,,,,,,,
588,0.4283,2.4493,0.526,,,,,,,,,,
589,0.4163,2.4498,0.5254,,,,,,,,,,
590,0.4632,2.4507,0.5252,,,,,,,,,,
591,0.4341,2.4487,0.5263,,,,,,,,,,
592,0.4201,2.4485,0.525,,,,,,,,,,
593,0.4452,2.4523,0.5245,,,,,,,,,,
594,0.4135,2.4495,0.5244,,,,,,,,,,
595,0.4358,2.445,0.5246,,,,,,,,,,
596,0.4092,2.4486,0.5253,,,,,,,,,,
597,0.4499,2.4498,0.5253,,,,,,,,,,
598,0.4487,2.4474,0.526,,,,,,,,,,
599,0.4218,2.4486,0.524,,,,,,,,,,
600,0.3992,2.4463,0.5256,,,,,,,,,,
601,0.4387,2.4476,0.5261,,,,,,,,,,
602,0.4437,2.4476,0.5267,,,,,,,,,,
603,0.4596,2.4459,0.5248,,,,,,,,,,
604,0.4264,2.4466,0.5251,,,,,,,,,,
605,0.4446,2.4448,0.5252,,,,,,,,,,
606,0.5007,2.4437,0.5235,,,,,,,,,,
607,0.4318,2.4461,0.5247,,,,,,,,,,
608,0.4482,2.4427,0.5256,,,,,,,,,,
609,0.4456,2.4409,0.5254,,,,,,,,,,
610,0.449,2.4415,0.5249,,,,,,,,,,
611,0.4406,2.4404,0.5254,,,,,,,,,,
612,0.4591,2.4381,0.524,,,,,,,,,,
613,0.4044,2.4434,0.5255,,,,,,,,,,
614,0.4008,2.4454,0.5232,,,,,,,,,,
615,0.4845,2.4411,0.5249,,,,,,,,,,
616,0.4552,2.4376,0.524,,,,,,,,,,
617,0.4627,2.4383,0.5244,,,,,,,,,,
618,0.43,2.4401,0.524,,,,,,,,,,
619,0.4498,2.4392,0.525,,,,,,,,,,
620,0.4749,2.4424,0.5245,,,,,,,,,,
621,0.4146,2.4459,0.5248,,,,,,,,,,
622,0.4289,2.4461,0.5261,,,,,,,,,,
623,0.4337,2.4444,0.5249,,,,,,,,,,
624,0.4358,2.445,0.5257,,,,,,,,,,
625,0.4203,2.4469,0.5252,,,,,,,,,,
626,0.4704,2.4405,0.5258,,,,,,,,,,
627,0.4783,2.4367,0.5262,,,,,,,,,,
628,0.4353,2.4388,0.5255,,,,,,,,,,
629,0.3991,2.4379,0.5251,,,,,,,,,,
630,0.5149,2.4366,0.5248,,,,,,,,,,
631,0.4485,2.4334,0.5258,,,,,,,,,,
632,0.4435,2.4334,0.5241,,,,,,,,,,
633,0.4556,2.4335,0.5248,,,,,,,,,,
634,0.447,2.4349,0.5247,,,,,,,,,,
635,0.4529,2.4347,0.525,,,,,,,,,,
636,0.474,2.4366,0.5247,,,,,,,,,,
637,0.4771,2.4348,0.5242,,,,,,,,,,
638,0.4797,2.4343,0.5246,,,,,,,,,,
639,0.4597,2.4323,0.5246,,,,,,,,,,
640,0.4468,2.4303,0.5245,,,,,,,,,,
641,0.4809,2.4285,0.523,,,,,,,,,,
642,0.4439,2.4329,0.5231,,,,,,,,,,
643,0.4936,2.4338,0.5219,,,,,,,,,,
644,0.5196,2.4297,0.5228,,,,,,,,,,
645,0.4777,2.4292,0.5236,,,,,,,,,,
646,0.4871,2.4305,0.5237,,,,,,,,,,
647,0.4765,2.4271,0.5229,,,,,,,,,,
648,0.4686,2.4284,0.5233,,,,,,,,,,
649,0.4645,2.4282,0.5227,,,,,,,,,,
650,0.4488,2.4267,0.5239,,,,,,,,,,
651,0.4724,2.4247,0.5232,,,,,,,,,,
652,0.5021,2.423,0.5231,,,,,,,,,,
653,0.4778,2.4211,0.5238,,,,,,,,,,
654,0.4951,2.4208,0.5243,,,,,,,,,,
655,0.4549,2.4223,0.5237,,,,,,,,,,
656,0.489,2.421,0.524,,,,,,,,,,
657,0.5515,2.4202,0.5233,,,,,,,,,,
658,0.44,2.4208,0.5236,,,,,,,,,,
659,0.4857,2.419,0.5252,,,,,,,,,,
660,0.4891,2.4178,0.5233,,,,,,,,,,
661,0.4551,2.4186,0.5238,,,,,,,,,,
662,0.4413,2.4215,0.5224,,,,,,,,,,
663,0.4887,2.4207,0.5246,,,,,,,,,,
664,0.4838,2.4217,0.5255,,,,,,,,,,
665,0.4631,2.4208,0.5252,,,,,,,,,,
666,0.4462,2.4216,0.5243,,,,,,,,,,
667,0.512,2.419,0.5255,,,,,,,,,,
668,0.4479,2.421,0.5245,,,,,,,,,,
669,0.4611,2.4198,0.5256,,,,,,,,,,
670,0.4479,2.4201,0.5249,,,,,,,,,,
671,0.4996,2.4224,0.5249,,,,,,,,,,
672,0.4682,2.4209,0.524,,,,,,,,,,
673,0.468,2.4209,0.5242,,,,,,,,,,
674,0.468,2.4225,0.5245,,,,,,,,,,
675,0.5258,2.4189,0.5248,,,,,,,,,,
676,0.5198,2.418,0.5247,,,,,,,,,,
677,0.4493,2.4195,0.524,,,,,,,,,,
678,0.4093,2.4207,0.5246,,,,,,,,,,
679,0.4939,2.4196,0.5256,,,,,,,,,,
680,0.423,2.4223,0.5253,,,,,,,,,,
681,0.4931,2.4195,0.5246,,,,,,,,,,
682,0.4725,2.422,0.5232,,,,,,,,,,
683,0.4808,2.4223,0.5254,,,,,,,,,,
684,0.5253,2.4182,0.5248,,,,,,,,,,
685,0.4817,2.4184,0.5247,,,,,,,,,,
686,0.5,2.4186,0.5245,,,,,,,,,,
687,0.4721,2.4195,0.525,,,,,,,,,,
688,0.5099,2.4182,0.526,,,,,,,,,,
689,0.4201,2.4176,0.5253,,,,,,,,,,
690,0.465,2.4168,0.5254,,,,,,,,,,
691,0.5024,2.4137,0.5248,,,,,,,,,,
692,0.4601,2.416,0.5242,,,,,,,,,,
693,0.4502,2.4152,0.5247,,,,,,,,,,
694,0.5034,2.4163,0.5242,,,,,,,,,,
695,0.4826,2.4177,0.5242,,,,,,,,,,
696,0.4738,2.417,0.5244,,,,,,,,,,
697,0.5249,2.4153,0.5244,,,,,,,,,,
698,0.4702,2.4163,0.5253,,,,,,,,,,
699,0.4943,2.4156,0.5252,,,,,,,,,,
700,0.4624,2.4156,0.5256,,,,,,,,,,
701,0.5132,2.4172,0.5248,,,,,,,,,,
702,0.4928,2.4161,0.5241,,,,,,,,,,
703,0.4981,2.4189,0.5244,,,,,,,,,,
704,0.5329,2.415,0.5248,,,,,,,,,,
705,0.4795,2.4141,0.5254,,,,,,,,,,
706,0.5262,2.412,0.525,,,,,,,,,,
707,0.4852,2.4128,0.5248,,,,,,,,,,
708,0.4688,2.4145,0.5238,,,,,,,,,,
709,0.4937,2.4138,0.525,,,,,,,,,,
710,0.4909,2.4155,0.5238,,,,,,,,,,
711,0.4527,2.4162,0.5238,,,,,,,,,,
712,0.4469,2.4166,0.5241,,,,,,,,,,
713,0.4622,2.4172,0.5252,,,,,,,,,,
714,0.5021,2.4152,0.5255,,,,,,,,,,
715,0.4325,2.4171,0.5243,,,,,,,,,,
716,0.5375,2.4154,0.5261,,,,,,,,,,
717,0.478,2.4171,0.5243,,,,,,,,,,
718,0.4745,2.4155,0.525,,,,,,,,,,
719,0.4618,2.4171,0.5246,,,,,,,,,,
720,0.5025,2.4183,0.5248,,,,,,,,,,
721,0.5048,2.4182,0.5245,,,,,,,,,,
722,0.5121,2.4157,0.5248,,,,,,,,,,
723,0.4841,2.4148,0.5254,,,,,,,,,,
724,0.4602,2.4151,0.5245,,,,,,,,,,
725,0.4804,2.4158,0.5247,,,,,,,,,,
726,0.4802,2.4141,0.524,,,,,,,,,,
727,0.5245,2.4126,0.5239,,,,,,,,,,
728,0.529,2.4123,0.5231,,,,,,,,,,
729,0.4883,2.4109,0.5236,,,,,,,,,,
730,0.4901,2.4116,0.5242,,,,,,,,,,
731,0.4505,2.4121,0.5238,,,,,,,,,,
732,0.5177,2.4114,0.5242,,,,,,,,,,
733,0.4675,2.4112,0.5237,,,,,,,,,,
734,0.5236,2.4121,0.5235,,,,,,,,,,
735,0.512,2.4118,0.5242,,,,,,,,,,
736,0.5311,2.411,0.5234,,,,,,,,,,
737,0.5254,2.4091,0.5247,,,,,,,,,,
738,0.4931,2.4098,0.5239,,,,,,,,,,
739,0.5036,2.4092,0.5243,,,,,,,,,,
740,0.4719,2.4104,0.5237,,,,,,,,,,
741,0.5004,2.4099,0.5241,,,,,,,,,,
742,0.4917,2.4097,0.5242,,,,,,,,,,
743,0.4837,2.4079,0.5236,,,,,,,,,,
744,0.5031,2.408,0.524,,,,,,,,,,
745,0.513,2.4072,0.5239,,,,,,,,,,
746,0.5003,2.4074,0.5239,,,,,,,,,,
747,0.4888,2.4071,0.5246,,,,,,,,,,
748,0.5054,2.4071,0.5235,,,,,,,,,,
749,0.531,2.406,0.5235,,,,,,,,,,
750,0.4919,2.4063,0.5239,,,,,,,,,,
751,0.513,2.4061,0.5244,,,,,,,,,,
752,0.5014,2.4057,0.5247,,,,,,,,,,
753,0.4783,2.4054,0.524,,,,,,,,,,
754,0.4949,2.4057,0.524,,,,,,,,,,
755,0.4928,2.4065,0.5241,,,,,,,,,,
756,0.509,2.4062,0.5242,,,,,,,,,,
757,0.4458,2.4065,0.5241,,,,,,,,,,
758,0.5229,2.4065,0.5251,,,,,,,,,,
759,0.4994,2.406,0.5241,,,,,,,,,,
760,0.4653,2.4055,0.5244,,,,,,,,,,
761,0.4828,2.4051,0.5248,,,,,,,,,,
762,0.5469,2.4044,0.5244,,,,,,,,,,
763,0.5002,2.4049,0.5243,,,,,,,,,,
764,0.4816,2.4057,0.5249,,,,,,,,,,
765,0.4798,2.4058,0.525,,,,,,,,,,
766,0.5351,2.4045,0.5242,,,,,,,,,,
767,0.5305,2.4041,0.5244,,,,,,,,,,
768,0.4988,2.4056,0.5244,,,,,,,,,,
769,0.5177,2.4055,0.5244,,,,,,,,,,
770,0.5206,2.4046,0.5243,,,,,,,,,,
771,0.5368,2.4036,0.5243,,,,,,,,,,
772,0.5193,2.4036,0.5244,,,,,,,,,,
773,0.5384,2.4046,0.5242,,,,,,,,,,
774,0.4801,2.4039,0.5236,,,,,,,,,,
775,0.5208,2.4046,0.5238,,,,,,,,,,
776,0.5637,2.4043,0.5231,,,,,,,,,,
777,0.4675,2.405,0.5231,,,,,,,,,,
778,0.4792,2.4058,0.523,,,,,,,,,,
779,0.4921,2.4068,0.5229,,,,,,,,,,
780,0.5102,2.4064,0.5235,,,,,,,,,,
781,0.4728,2.4065,0.5238,,,,,,,,,,
782,0.5763,2.4067,0.5244,,,,,,,,,,
783,0.5,2.4055,0.524,,,,,,,,,,
784,0.4866,2.4051,0.5238,,,,,,,,,,
785,0.503,2.406,0.5233,,,,,,,,,,
786,0.5023,2.4052,0.5238,,,,,,,,,,
787,0.4228,2.4061,0.5241,,,,,,,,,,
788,0.4842,2.4065,0.5242,,,,,,,,,,
789,0.4661,2.407,0.524,,,,,,,,,,
790,0.5037,2.4066,0.5245,,,,,,,,,,
791,0.496,2.4064,0.5246,,,,,,,,,,
792,0.51,2.4062,0.5254,,,,,,,,,,
793,0.5152,2.4065,0.5248,,,,,,,,,,
794,0.5149,2.4059,0.5236,,,,,,,,,,
795,0.5387,2.4048,0.5233,,,,,,,,,,
796,0.5069,2.4052,0.5241,,,,,,,,,,
797,0.4701,2.4054,0.5232,,,,,,,,,,
798,0.4947,2.4054,0.5231,,,,,,,,,,
799,0.4686,2.4049,0.5236,,,,,,,,,,
800,0.4578,2.4043,0.5245,,,,,,,,,,
801,0.5239,2.4035,0.5245,,,,,,,,,,
802,0.5022,2.404,0.5242,,,,,,,,,,
803,0.4925,2.4042,0.5238,,,,,,,,,,
804,0.4958,2.4038,0.5252,,,,,,,,,,
805,0.4957,2.4034,0.5258,,,,,,,,,,
806,0.5264,2.4032,0.5248,,,,,,,,,,
807,0.4557,2.4031,0.5245,,,,,,,,,,
808,0.5041,2.4028,0.5243,,,,,,,,,,
809,0.5243,2.4028,0.5246,,,,,,,,,,
810,0.5032,2.403,0.5241,,,,,,,,,,
811,0.4966,2.403,0.5241,,,,,,,,,,
812,0.53,2.403,0.5239,,,,,,,,,,
813,0.5325,2.4026,0.5235,,,,,,,,,,
814,0.5214,2.4027,0.5242,,,,,,,,,,
815,0.457,2.4026,0.5242,,,,,,,,,,
816,0.5232,2.402,0.5236,,,,,,,,,,
817,0.523,2.4022,0.5229,,,,,,,,,,
818,0.5366,2.4016,0.5246,,,,,,,,,,
819,0.5168,2.4015,0.5239,,,,,,,,,,
820,0.4891,2.4022,0.5236,,,,,,,,,,
821,0.4844,2.402,0.5231,,,,,,,,,,
822,0.4905,2.4029,0.5232,,,,,,,,,,
823,0.5311,2.4027,0.5233,,,,,,,,,,
824,0.5169,2.4028,0.5228,,,,,,,,,,
825,0.48,2.4032,0.5227,,,,,,,,,,
826,0.5198,2.4034,0.5231,,,,,,,,,,
827,0.4962,2.4037,0.5235,,,,,,,,,,
828,0.459,2.4037,0.5232,,,,,,,,,,
829,0.5103,2.4031,0.5238,,,,,,,,,,
830,0.4767,2.4032,0.5233,,,,,,,,,,
831,0.5245,2.4031,0.5235,,,,,,,,,,
832,0.5157,2.4028,0.5238,,,,,,,,,,
833,0.5098,2.4024,0.5235,,,,,,,,,,
834,0.4713,2.4023,0.5237,,,,,,,,,,
835,0.5093,2.402,0.5236,,,,,,,,,,
836,0.5367,2.4019,0.5237,,,,,,,,,,
837,0.5094,2.4013,0.524,,,,,,,,,,
838,0.5098,2.4007,0.524,,,,,,,,,,
839,0.5252,2.4003,0.524,,,,,,,,,,
840,0.5086,2.4002,0.5235,,,,,,,,,,
841,0.5139,2.4002,0.5238,,,,,,,,,,
842,0.5802,2.3997,0.5236,,,,,,,,,,
843,0.499,2.3996,0.524,,,,,,,,,,
844,0.516,2.3994,0.5235,,,,,,,,,,
845,0.4735,2.3999,0.5236,,,,,,,,,,
846,0.5242,2.3999,0.5237,,,,,,,,,,
847,0.5524,2.3989,0.5236,,,,,,,,,,
848,0.521,2.3993,0.524,,,,,,,,,,
849,0.48,2.3998,0.524,,,,,,,,,,
850,0.5087,2.3997,0.5239,,,,,,,,,,
851,0.5025,2.3993,0.524,,,,,,,,,,
852,0.4811,2.3999,0.5241,,,,,,,,,,
853,0.484,2.4003,0.5241,,,,,,,,,,
854,0.5334,2.4,0.5241,,,,,,,,,,
855,0.4784,2.4,0.5237,,,,,,,,,,
856,0.5871,2.3996,0.5241,,,,,,,,,,
857,0.4589,2.4001,0.5242,,,,,,,,,,
858,0.4766,2.4002,0.524,,,,,,,,,,
859,0.5452,2.3998,0.5239,,,,,,,,,,
860,0.4905,2.3999,0.5237,,,,,,,,,,
861,0.5385,2.3999,0.5238,,,,,,,,,,
862,0.5355,2.3994,0.524,,,,,,,,,,
863,0.4876,2.3996,0.5246,,,,,,,,,,
864,0.5313,2.3992,0.5243,,,,,,,,,,
865,0.522,2.3991,0.5245,,,,,,,,,,
866,0.5096,2.3989,0.5249,,,,,,,,,,
867,0.4875,2.3991,0.5241,,,,,,,,,,
868,0.4795,2.3994,0.5243,,,,,,,,,,
869,0.52,2.3995,0.524,,,,,,,,,,
870,0.5596,2.3993,0.5242,,,,,,,,,,
871,0.5565,2.3992,0.5238,,,,,,,,,,
872,0.5183,2.3992,0.5238,,,,,,,,,,
873,0.5424,2.3994,0.5239,,,,,,,,,,
874,0.5256,2.3993,0.524,,,,,,,,,,
875,0.5475,2.3987,0.5242,,,,,,,,,,
876,0.4904,2.3988,0.5241,,,,,,,,,,
877,0.5761,2.3983,0.5241,,,,,,,,,,
878,0.5147,2.3978,0.5242,,,,,,,,,,
879,0.4987,2.3978,0.524,,,,,,,,,,
880,0.5338,2.3978,0.5241,,,,,,,,,,
881,0.5204,2.398,0.5239,,,,,,,,,,
882,0.5153,2.3977,0.5235,,,,,,,,,,
883,0.491,2.3977,0.524,,,,,,,,,,
884,0.5191,2.3978,0.5237,,,,,,,,,,
885,0.5013,2.3975,0.5237,,,,,,,,,,
886,0.5403,2.3974,0.5242,,,,,,,,,,
887,0.5462,2.3969,0.5239,,,,,,,,,,
888,0.4519,2.3975,0.5237,,,,,,,,,,
889,0.4957,2.3971,0.5242,,,,,,,,,,
890,0.5111,2.3973,0.5238,,,,,,,,,,
891,0.511,2.3974,0.5239,,,,,,,,,,
892,0.4925,2.3973,0.5238,,,,,,,,,,
893,0.5064,2.3975,0.5238,,,,,,,,,,
894,0.5349,2.3977,0.5237,,,,,,,,,,
895,0.5155,2.3977,0.5241,,,,,,,,,,
896,0.5012,2.3976,0.5242,,,,,,,,,,
897,0.5461,2.3975,0.5241,,,,,,,,,,
898,0.529,2.3973,0.5241,,,,,,,,,,
899,0.5289,2.3971,0.5244,,,,,,,,,,
900,0.5118,2.397,0.5247,,,,,,,,,,
901,0.5492,2.3966,0.5242,,,,,,,,,,
902,0.5336,2.3966,0.5243,,,,,,,,,,
903,0.5162,2.3965,0.5243,,,,,,,,,,
904,0.5337,2.3968,0.5238,,,,,,,,,,
905,0.5229,2.3968,0.5237,,,,,,,,,,
906,0.484,2.3969,0.5244,,,,,,,,,,
907,0.4928,2.3974,0.5241,,,,,,,,,,
908,0.5059,2.3975,0.5242,,,,,,,,,,
909,0.483,2.3975,0.5239,,,,,,,,,,
910,0.5522,2.3973,0.5243,,,,,,,,,,
911,0.4982,2.3974,0.524,,,,,,,,,,
912,0.5608,2.3974,0.524,,,,,,,,,,
913,0.4919,2.3976,0.5243,,,,,,,,,,
914,0.5153,2.3976,0.5246,,,,,,,,,,
915,0.5646,2.3974,0.5244,,,,,,,,,,
916,0.4948,2.3972,0.5246,,,,,,,,,,
917,0.4738,2.3971,0.5243,,,,,,,,,,
918,0.5452,2.3968,0.5243,,,,,,,,,,
919,0.505,2.3968,0.5246,,,,,,,,,,
920,0.5484,2.3964,0.5242,,,,,,,,,,
921,0.4876,2.3968,0.5245,,,,,,,,,,
922,0.5407,2.3968,0.5245,,,,,,,,,,
923,0.4753,2.3969,0.5243,,,,,,,,,,
924,0.5318,2.3965,0.5244,,,,,,,,,,
925,0.4993,2.3965,0.5243,,,,,,,,,,
926,0.561,2.3962,0.5246,,,,,,,,,,
927,0.5218,2.3959,0.5245,,,,,,,,,,
928,0.5472,2.3958,0.5245,,,,,,,,,,
929,0.5304,2.3959,0.5244,,,,,,,,,,
930,0.5156,2.3958,0.5241,,,,,,,,,,
931,0.4734,2.3959,0.5241,,,,,,,,,,
932,0.5234,2.3958,0.5239,,,,,,,,,,
933,0.4853,2.396,0.524,,,,,,,,,,
934,0.5071,2.396,0.5242,,,,,,,,,,
935,0.462,2.3961,0.5242,,,,,,,,,,
936,0.5159,2.3962,0.5242,,,,,,,,,,
937,0.4814,2.3959,0.5242,,,,,,,,,,
938,0.5482,2.3957,0.524,,,,,,,,,,
939,0.4786,2.3958,0.5243,,,,,,,,,,
940,0.5372,2.3956,0.5244,,,,,,,,,,
941,0.5316,2.3954,0.5242,,,,,,,,,,
942,0.5156,2.3954,0.5241,,,,,,,,,,
943,0.5178,2.3954,0.5239,,,,,,,,,,
944,0.4788,2.3954,0.524,,,,,,,,,,
945,0.4988,2.3954,0.5241,,,,,,,,,,
946,0.5273,2.3954,0.5241,,,,,,,,,,
947,0.5351,2.3954,0.5239,,,,,,,,,,
948,0.5296,2.3954,0.5241,,,,,,,,,,
949,0.5161,2.3954,0.5242,,,,,,,,,,
950,0.5359,2.3951,0.5242,,,,,,,,,,
951,0.5212,2.3949,0.5242,,,,,,,,,,
952,0.5475,2.395,0.5243,,,,,,,,,,
953,0.5445,2.3949,0.5242,,,,,,,,,,
954,0.5032,2.3948,0.5244,,,,,,,,,,
955,0.4789,2.3947,0.5246,,,,,,,,,,
956,0.5327,2.3947,0.5243,,,,,,,,,,
957,0.4952,2.3947,0.524,,,,,,,,,,
958,0.487,2.3948,0.524,,,,,,,,,,
959,0.5159,2.3948,0.5242,,,,,,,,,,
960,0.5456,2.3946,0.5243,,,,,,,,,,
961,0.5145,2.3948,0.5243,,,,,,,,,,
962,0.4634,2.395,0.5242,,,,,,,,,,
963,0.5046,2.3949,0.5241,,,,,,,,,,
964,0.4978,2.3948,0.5242,,,,,,,,,,
965,0.5405,2.3947,0.5239,,,,,,,,,,
966,0.5344,2.3947,0.5239,,,,,,,,,,
967,0.4921,2.3946,0.5239,,,,,,,,,,
968,0.5184,2.3948,0.5242,,,,,,,,,,
969,0.4983,2.3947,0.5242,,,,,,,,,,
970,0.4839,2.3948,0.5243,,,,,,,,,,
971,0.5116,2.3948,0.5241,,,,,,,,,,
972,0.5721,2.3948,0.5241,,,,,,,,,,
973,0.4735,2.3949,0.5242,,,,,,,,,,
974,0.5135,2.395,0.524,,,,,,,,,,
975,0.5272,2.395,0.5243,,,,,,,,,,
976,0.5551,2.3949,0.5239,,,,,,,,,,
977,0.5106,2.3949,0.5239,,,,,,,,,,
978,0.5073,2.3949,0.5237,,,,,,,,,,
979,0.5508,2.3948,0.524,,,,,,,,,,
980,0.5093,2.3947,0.5238,,,,,,,,,,
981,0.5184,2.3947,0.5238,,,,,,,,,,
982,0.4286,2.3949,0.5239,,,,,,,,,,
983,0.5315,2.3949,0.5241,,,,,,,,,,
984,0.4883,2.3949,0.5241,,,,,,,,,,
985,0.4679,2.3951,0.5241,,,,,,,,,,
986,0.5529,2.395,0.5239,,,,,,,,,,
987,0.5054,2.395,0.5239,,,,,,,,,,
988,0.5273,2.3951,0.5238,,,,,,,,,,
989,0.5231,2.395,0.5238,,,,,,,,,,
990,0.5344,2.395,0.5239,,,,,,,,,,
991,0.4571,2.3952,0.5239,,,,,,,,,,
992,0.5272,2.3953,0.524,,,,,,,,,,
993,0.5879,2.3951,0.5235,,,,,,,,,,
994,0.4936,2.3951,0.5241,,,,,,,,,,
995,0.5198,2.395,0.5239,,,,,,,,,,
996,0.545,2.3948,0.5242,,,,,,,,,,
997,0.5033,2.3948,0.5237,,,,,,,,,,
998,0.5357,2.3948,0.524,,,,,,,,,,
999,0.5463,2.3947,0.5238,,,,,,,,,,
1000,0.52,2.3948,0.5237,,,,,,,,,,
1001,0.5445,2.3948,0.5238,,,,,,,,,,
1002,0.4715,2.3948,0.5236,,,,,,,,,,
1003,0.5388,2.3946,0.5236,,,,,,,,,,
1004,0.5455,2.3946,0.5237,,,,,,,,,,
1005,0.5145,2.3946,0.5237,,,,,,,,,,
1006,0.553,2.3945,0.5235,,,,,,,,,,
1007,0.4706,2.3946,0.5237,,,,,,,,,,
1008,0.5048,2.3945,0.5236,,,,,,,,,,
1009,0.4859,2.3946,0.5236,,,,,,,,,,
1010,0.5416,2.3946,0.5236,,,,,,,,,,
1011,0.5053,2.3946,0.5239,,,,,,,,,,
1012,0.5022,2.3946,0.5234,,,,,,,,,,
1013,0.5288,2.3945,0.524,,,,,,,,,,
1014,0.53,2.3945,0.5238,,,,,,,,,,
1015,0.5438,2.3945,0.5238,,,,,,,,,,
1016,0.5155,2.3946,0.5238,,,,,,,,,,
1017,0.5327,2.3945,0.524,,,,,,,,,,
1018,0.5145,2.3944,0.5239,,,,,,,,,,
1019,0.5558,2.3944,0.524,,,,,,,,,,
1020,0.5162,2.3945,0.5238,,,,,,,,,,
1021,0.5765,2.3945,0.5238,,,,,,,,,,
1022,0.4781,2.3945,0.5239,,,,,,,,,,
1023,0.5004,2.3946,0.5241,,,,,,,,,,
1024,0.5515,2.3945,0.524,,,,,,,,,,
1025,0.5009,2.3945,0.524,,,,,,,,,,
1026,0.4637,2.3945,0.5239,,,,,,,,,,
1027,0.525,2.3945,0.5241,,,,,,,,,,
1028,0.5143,2.3945,0.5238,,,,,,,,,,
1029,0.4701,2.3946,0.5239,,,,,,,,,,
1030,0.5295,2.3945,0.5242,,,,,,,,,,
1031,0.5367,2.3945,0.5243,,,,,,,,,,
1032,0.5354,2.3944,0.5241,,,,,,,,,,
1033,0.5115,2.3943,0.5244,,,,,,,,,,
1034,0.5047,2.3944,0.524,,,,,,,,,,
1035,0.5315,2.3943,0.5241,,,,,,,,,,
1036,0.5564,2.3943,0.5243,,,,,,,,,,
1037,0.5166,2.3943,0.5242,,,,,,,,,,
1038,0.49,2.3943,0.5242,,,,,,,,,,
1039,0.5167,2.3943,0.5242,,,,,,,,,,
