epoch,training loss,test acc
319,0.37,50.49
320,0.38,50.57
321,0.36,51.11
322,0.36,51.25
323,0.35,51.55
324,0.38,51.35
325,0.37,50.21
326,0.37,51.25
327,0.36,51.96
328,0.37,49.95
329,0.4,49.85
330,0.38,51.36
331,0.37,50.79
332,0.4,51.6
333,0.38,52.51
334,0.39,51.75
335,0.39,51.37
336,0.38,50.58
337,0.38,52.72
338,0.38,50.58
339,0.4,52.54
340,0.43,52.07
341,0.37,50.68
342,0.4,50.8
343,0.37,50.21
344,0.38,50.05
345,0.36,50.66
346,0.41,52.52
347,0.33,50.14
348,0.43,51.56
349,0.35,50.0
350,0.39,50.62
351,0.42,50.54
352,0.41,50.59
353,0.4,51.08
354,0.39,50.65
355,0.38,51.35
356,0.35,51.62
357,0.4,51.95
358,0.38,50.0
359,0.34,52.16
360,0.4,51.06
361,0.42,50.3
362,0.38,50.64
363,0.39,50.93
364,0.38,50.74
365,0.38,51.9
366,0.38,50.51
367,0.41,51.47
368,0.39,50.55
369,0.39,51.6
370,0.4,50.09
371,0.44,49.85
372,0.41,50.03
373,0.39,51.85
374,0.41,51.85
375,0.42,52.33
376,0.36,50.61
377,0.4,49.99
378,0.38,49.89
379,0.36,49.72
380,0.36,52.18
381,0.43,50.32
382,0.41,51.58
383,0.37,50.15
384,0.42,51.44
385,0.45,49.4
386,0.39,50.26
387,0.42,50.4
388,0.4,48.88
389,0.4,50.64
390,0.38,49.63
391,0.37,49.18
392,0.4,50.37
393,0.38,50.83
394,0.39,50.51
395,0.43,49.35
396,0.4,50.43
397,0.35,51.16
398,0.4,49.94
399,0.39,48.78
400,0.41,48.82
401,0.39,49.66
402,0.41,50.74
403,0.43,50.47
404,0.42,49.54
405,0.41,50.7
406,0.41,49.84
407,0.37,51.78
408,0.41,50.41
409,0.4,51.1
410,0.41,51.23
411,0.39,50.88
412,0.42,50.07
413,0.37,51.14
414,0.46,50.0
415,0.42,49.85
416,0.42,51.94
417,0.38,48.33
418,0.42,50.37
419,0.45,50.55
420,0.44,49.55
421,0.41,51.97
422,0.38,51.21
423,0.38,51.48
424,0.44,49.35
425,0.45,49.94
426,0.44,50.84
427,0.35,51.39
428,0.38,50.77
429,0.42,50.19
430,0.37,50.34
431,0.41,50.0
432,0.43,50.15
433,0.44,49.69
434,0.35,50.71
435,0.39,51.5
436,0.43,51.9
437,0.41,49.52
438,0.43,48.03
439,0.42,49.49
440,0.43,50.68
441,0.39,50.18
442,0.38,51.75
443,0.49,51.01
444,0.41,50.71
445,0.38,49.19
446,0.39,51.05
447,0.44,50.4
448,0.46,49.0
449,0.44,48.37
450,0.43,50.4
451,0.36,49.96
452,0.39,50.06
453,0.49,52.48
454,0.42,49.92
455,0.39,51.24
456,0.41,50.66
457,0.38,49.9
458,0.42,50.1
459,0.44,49.34
460,0.36,51.31
461,0.39,51.06
462,0.46,51.53
463,0.46,51.07
464,0.45,49.82
465,0.42,49.88
466,0.44,50.66
467,0.44,50.46
468,0.44,51.06
469,0.42,50.32
470,0.46,47.46
471,0.4,49.88
472,0.43,51.58
473,0.41,51.27
474,0.45,49.68
475,0.43,48.96
476,0.49,51.4
477,0.43,47.58
478,0.43,51.67
479,0.43,49.25
480,0.39,51.39
481,0.39,50.86
482,0.5,51.24
483,0.42,51.71
484,0.45,50.79
485,0.48,49.29
486,0.44,50.72
487,0.42,52.06
488,0.42,50.2
489,0.42,50.56
490,0.4,52.18
491,0.4,51.21
492,0.53,50.25
493,0.47,51.99
494,0.42,50.5
495,0.45,51.21
496,0.41,50.25
497,0.43,50.72
498,0.4,50.56
499,0.44,49.98
500,0.45,51.47
501,0.4,51.19
502,0.4,50.87
503,0.46,50.75
504,0.38,50.0
505,0.38,51.07
506,0.43,50.09
507,0.47,50.84
508,0.45,52.13
509,0.44,49.88
510,0.41,50.1
511,0.47,50.96
512,0.44,50.51
513,0.49,51.08
514,0.42,51.59
515,0.37,50.26
516,0.45,51.06
517,0.44,49.65
518,0.47,50.15
519,0.46,51.82
520,0.39,50.74
521,0.44,51.96
522,0.38,51.53
523,0.42,50.4
524,0.44,50.02
525,0.46,51.18
526,0.47,50.36
527,0.45,50.38
528,0.39,51.28
529,0.45,51.32
530,0.45,51.95
531,0.47,51.05
532,0.46,50.9
533,0.45,48.97
534,0.45,50.95
535,0.45,51.15
536,0.44,51.22
537,0.43,50.67
538,0.41,51.28
539,0.47,50.98
540,0.44,51.54
541,0.41,50.86
542,0.48,50.18
543,0.49,51.35
544,0.45,49.22
545,0.44,50.18
546,0.46,51.5
547,0.4,50.09
548,0.43,50.37
549,0.52,50.59
550,0.48,49.04
551,0.48,49.5
552,0.43,50.5
553,0.48,51.6
554,0.43,51.24
555,0.45,51.85
556,0.47,49.19
557,0.41,50.04
558,0.42,52.13
559,0.45,51.54
560,0.5,51.38
561,0.41,49.37
562,0.46,51.17
563,0.4,50.43
564,0.44,51.66
565,0.49,48.41
566,0.45,50.07
567,0.52,50.88
568,0.49,49.93
569,0.44,49.63
570,0.46,50.59
571,0.46,51.84
572,0.48,50.73
573,0.43,50.84
574,0.49,51.3
575,0.51,51.19
576,0.47,50.22
577,0.44,51.46
578,0.48,50.12
579,0.52,49.79
580,0.5,49.86
581,0.4,49.98
582,0.47,47.07
583,0.51,49.2
584,0.48,51.4
585,0.44,49.98
586,0.48,50.05
587,0.43,50.02
588,0.45,49.52
589,0.44,51.29
590,0.46,51.45
591,0.44,49.88
592,0.5,49.98
593,0.48,51.36
594,0.52,49.86
595,0.47,50.89
596,0.51,50.25
597,0.48,50.24
598,0.46,52.5
599,0.37,51.63
600,0.48,50.79
601,0.46,49.23
602,0.45,50.97
603,0.5,49.83
604,0.49,50.22
605,0.55,50.59
606,0.48,49.98
607,0.47,50.25
608,0.5,51.07
609,0.44,48.56
610,0.49,50.93
611,0.47,50.27
612,0.44,49.69
613,0.43,50.96
614,0.47,52.32
615,0.48,50.73
616,0.46,48.31
617,0.54,49.58
618,0.47,50.14
619,0.46,49.64
620,0.51,48.02
621,0.5,49.74
622,0.48,51.01
623,0.46,50.36
624,0.47,48.76
625,0.52,47.92
626,0.51,51.67
627,0.53,50.36
628,0.48,51.35
629,0.48,49.99
630,0.47,51.21
631,0.49,50.57
632,0.45,50.99
633,0.51,49.57
634,0.46,51.15
635,0.56,49.84
636,0.47,51.48
637,0.49,51.82
638,0.55,50.45
639,0.5,50.62
640,0.73,10.52
641,2.27,15.36
642,1.59,46.95
643,0.62,50.0
644,0.54,51.5
645,0.47,51.18
646,0.47,52.49
647,0.47,51.25
648,0.5,50.93
649,0.43,49.88
650,0.47,50.58
651,0.48,50.6
652,0.42,51.3
653,0.5,52.49
654,0.52,51.13
655,0.51,51.76
656,0.41,51.33
657,0.48,49.98
658,0.42,51.13
659,0.5,49.6
660,0.49,50.82
661,0.47,49.85
662,0.43,51.1
663,0.5,51.51
664,0.47,51.04
665,0.51,50.54
666,0.58,51.08
667,0.48,51.13
668,0.5,51.89
669,0.44,49.56
670,0.54,49.71
671,0.48,51.18
672,0.47,51.13
673,0.5,51.75
674,0.52,51.04
675,0.46,51.66
676,0.56,48.74
