Epoch,Training loss,Test loss,Test acc
1,0.5307,0.366,0.9419
2,0.1252,0.1152,0.9655
3,0.0725,0.0926,0.973
4,0.0544,0.0776,0.9778
5,0.0455,0.0658,0.9804
6,0.0397,0.0611,0.9819
7,0.0358,0.0552,0.9843
8,0.0306,0.0509,0.985
9,0.0277,0.048,0.986
10,0.0248,0.0451,0.9868
11,0.0242,0.0434,0.9876
12,0.0224,0.0406,0.9883
13,0.0224,0.0395,0.9881
14,0.0187,0.0383,0.9888
15,0.0186,0.0372,0.9891
16,0.0187,0.0363,0.9895
17,0.0161,0.0354,0.9894
18,0.017,0.034,0.9897
19,0.0159,0.0334,0.9905
20,0.0157,0.0318,0.9906
21,0.0139,0.0319,0.9905
22,0.0139,0.0312,0.9902
23,0.0134,0.0313,0.9904
24,0.0137,0.031,0.9905
25,0.0114,0.0309,0.9907
26,0.0112,0.0301,0.9908
27,0.0124,0.0294,0.9908
28,0.0117,0.0295,0.9908
29,0.0112,0.0291,0.9908
30,0.0084,0.0292,0.9913
31,0.0105,0.0286,0.9916
32,0.0094,0.0284,0.9912
33,0.0097,0.0286,0.9912
34,0.008,0.0279,0.9914
35,0.0093,0.0277,0.9915
36,0.0085,0.0273,0.9913
37,0.0079,0.0274,0.9916
38,0.0087,0.0276,0.9915
39,0.0079,0.0274,0.9916
40,0.0069,0.0269,0.9914
41,0.0084,0.0264,0.9916
42,0.0073,0.0267,0.9916
43,0.0067,0.0264,0.9919
44,0.0066,0.0261,0.992
45,0.006,0.0258,0.992
46,0.0064,0.0262,0.9921
47,0.0058,0.0258,0.9922
48,0.0067,0.026,0.9923
49,0.0052,0.0262,0.9925
50,0.0065,0.0258,0.9921
51,0.0054,0.0257,0.9926
52,0.0052,0.0258,0.9924
53,0.0056,0.0259,0.9923
54,0.0053,0.0257,0.9922
55,0.0055,0.0255,0.9926
56,0.0036,0.0261,0.9927
57,0.0052,0.0265,0.9925
58,0.0054,0.0264,0.9922
59,0.0051,0.0261,0.9925
60,0.0044,0.0255,0.9927
61,0.0041,0.0257,0.9927
62,0.0048,0.0255,0.9926
63,0.0039,0.0261,0.9923
64,0.0037,0.0258,0.9924
65,0.0039,0.026,0.9922
66,0.0037,0.0257,0.9927
67,0.004,0.0257,0.9931
68,0.0031,0.0257,0.9929
69,0.0039,0.0261,0.9929
70,0.0036,0.0264,0.9928
71,0.0037,0.0258,0.9926
72,0.0042,0.0257,0.9929
73,0.0028,0.0257,0.9927
74,0.0043,0.0254,0.9927
75,0.0036,0.0254,0.9927
76,0.0031,0.0259,0.9927
77,0.0022,0.0258,0.9928
78,0.0039,0.0258,0.9927
79,0.0027,0.0256,0.9928
80,0.0035,0.0258,0.993
81,0.002,0.026,0.9929
82,0.0032,0.0259,0.9931
83,0.002,0.026,0.9932
84,0.0023,0.0259,0.9929
85,0.0028,0.0257,0.993
86,0.0023,0.0259,0.9927
87,0.0016,0.0262,0.9927
88,0.0019,0.0263,0.9928
89,0.0026,0.0257,0.993
90,0.0026,0.0256,0.9929
91,0.0016,0.0259,0.9928
92,0.0018,0.0261,0.9929
93,0.0015,0.0263,0.9928
94,0.002,0.0265,0.9927
95,0.0024,0.0266,0.9928
96,0.0021,0.0267,0.9928
97,0.0017,0.0267,0.9929
98,0.0023,0.0264,0.9927
99,0.0021,0.0264,0.9932
100,0.0015,0.0267,0.9929
