Epoch,Training loss,Test loss,Test acc
1,2.0761,1.4055,0.7277
2,2.709,2.2912,0.1566
3,2.2668,2.217,0.233
4,2.1037,1.7995,0.5762
5,1.9026,2.2459,0.2749
6,2.0039,1.0962,0.7915
7,1.6654,1.7849,0.5717
8,1.2068,0.5817,0.8456
9,1.0982,0.8221,0.7419
10,0.5495,0.3323,0.9061
11,0.3153,0.3552,0.8849
12,0.3825,0.2379,0.9299
13,0.2104,0.2123,0.9348
14,0.2227,0.2588,0.9168
15,0.1949,0.1677,0.9491
16,0.1383,0.1562,0.9513
17,0.1419,0.1457,0.9561
18,0.1443,0.1556,0.949
19,0.1828,0.1945,0.9365
20,0.1588,0.1309,0.9605
21,0.1054,0.1221,0.9632
22,0.1094,0.1168,0.9646
23,0.0987,0.1165,0.9637
24,0.1467,0.1802,0.9424
25,0.2132,0.1177,0.9631
26,0.1013,0.1067,0.9664
27,0.0903,0.1027,0.9662
28,0.0797,0.1007,0.9696
29,0.1032,0.1024,0.9663
30,0.0939,0.0994,0.9694
31,0.0924,0.1025,0.9672
32,0.0821,0.0924,0.97
33,0.1045,0.1165,0.964
34,0.098,0.0981,0.9681
35,0.0725,0.0855,0.972
36,0.0944,0.0983,0.9669
37,0.0607,0.0819,0.9732
38,0.0637,0.0809,0.9737
39,0.0558,0.0783,0.9747
40,0.0593,0.0743,0.9752
41,0.0564,0.0747,0.9757
42,0.0846,0.149,0.9519
43,0.1269,0.0811,0.9741
44,0.0643,0.075,0.9748
45,0.0468,0.0728,0.9761
46,0.0529,0.071,0.9763
47,0.0481,0.0693,0.9764
48,0.0515,0.0918,0.9674
49,0.192,0.1639,0.9478
50,0.0826,0.0758,0.9756
51,0.0597,0.0712,0.9768
52,0.0461,0.0696,0.9771
53,0.0459,0.0691,0.978
54,0.0496,0.0663,0.9783
55,0.0459,0.0651,0.9783
56,0.0378,0.0646,0.979
57,0.0387,0.0646,0.9784
58,0.0372,0.0642,0.9784
59,0.045,0.0659,0.9785
60,0.0621,0.0701,0.9765
61,0.0499,0.0659,0.9797
62,0.0391,0.0609,0.9798
63,0.0424,0.0587,0.9807
64,0.0424,0.0623,0.9799
65,0.0364,0.0655,0.9792
66,0.1023,0.0821,0.9734
67,0.0422,0.0593,0.98
68,0.0321,0.0568,0.9816
69,0.0351,0.0573,0.9812
70,0.0388,0.0562,0.9812
71,0.0544,0.0663,0.9783
72,0.0389,0.0562,0.981
73,0.0316,0.0557,0.9816
74,0.0298,0.0558,0.9819
75,0.0317,0.0554,0.9818
76,0.0456,0.0971,0.9678
77,0.3151,0.2116,0.932
78,0.0971,0.0695,0.978
79,0.0431,0.064,0.9792
80,0.047,0.0592,0.9801
81,0.0365,0.0572,0.981
82,0.036,0.0565,0.9811
83,0.036,0.0552,0.9814
84,0.031,0.0535,0.9814
85,0.0345,0.0554,0.9812
86,0.0292,0.0541,0.982
87,0.0283,0.053,0.9817
88,0.03,0.0534,0.9815
89,0.0251,0.0522,0.9822
90,0.025,0.0507,0.9829
91,0.032,0.0503,0.9829
92,0.0671,0.0709,0.9764
93,0.0354,0.0504,0.9824
94,0.0242,0.0501,0.9832
95,0.0215,0.0506,0.9825
96,0.0387,0.0506,0.9832
97,0.0296,0.0528,0.9829
98,0.025,0.05,0.9833
99,0.0231,0.0494,0.9837
100,0.0245,0.05,0.9836
