Epoch,Training loss,Test loss,Test acc
1,0.5087,0.2613,0.9524
2,0.1101,0.106,0.9687
3,0.0716,0.0842,0.9759
4,0.053,0.071,0.9786
5,0.0406,0.0651,0.981
6,0.0385,0.0589,0.9827
7,0.0306,0.0537,0.9839
8,0.0273,0.0514,0.9845
9,0.0292,0.0465,0.9863
10,0.0287,0.0464,0.9858
11,0.0245,0.0436,0.988
12,0.0206,0.0417,0.9874
13,0.0236,0.0401,0.9883
14,0.02,0.0401,0.9887
15,0.0184,0.0387,0.9889
16,0.0185,0.0373,0.9894
17,0.0169,0.035,0.9899
18,0.0187,0.0345,0.9898
19,0.0166,0.0333,0.9896
20,0.0177,0.0319,0.9908
21,0.0122,0.033,0.9904
22,0.0146,0.0321,0.9903
23,0.0143,0.0317,0.9906
24,0.0106,0.0313,0.9911
25,0.014,0.0309,0.9906
26,0.0106,0.0314,0.9906
27,0.0108,0.0316,0.9904
28,0.0144,0.0307,0.9903
29,0.0079,0.03,0.9908
30,0.0115,0.0291,0.9908
31,0.011,0.0289,0.9916
32,0.0082,0.0297,0.9907
33,0.0067,0.0297,0.991
34,0.0095,0.0281,0.9919
35,0.0113,0.0296,0.9912
36,0.0113,0.0285,0.9917
37,0.0099,0.0281,0.9912
38,0.0071,0.0282,0.9916
39,0.0096,0.0279,0.992
40,0.0084,0.027,0.992
41,0.0072,0.0271,0.9921
42,0.0098,0.026,0.9923
43,0.0082,0.0268,0.992
44,0.0077,0.0261,0.992
45,0.0071,0.0262,0.9922
46,0.0053,0.0273,0.9921
47,0.0063,0.0271,0.9918
48,0.0079,0.0268,0.9918
49,0.0065,0.0261,0.9921
50,0.0069,0.0257,0.9923
51,0.0056,0.025,0.9925
52,0.0048,0.0258,0.9926
53,0.0068,0.0264,0.9926
54,0.0056,0.0258,0.9925
55,0.0042,0.0261,0.9924
56,0.0037,0.026,0.9926
57,0.0043,0.0267,0.9919
58,0.0065,0.0259,0.9924
59,0.0074,0.0261,0.9921
60,0.007,0.0252,0.9925
61,0.0057,0.0255,0.9923
62,0.006,0.0252,0.9923
63,0.0054,0.0249,0.9927
64,0.0035,0.0246,0.9927
65,0.0052,0.0252,0.9928
66,0.0037,0.026,0.9922
67,0.0038,0.0254,0.9924
68,0.0037,0.0257,0.9925
69,0.0031,0.0253,0.9926
70,0.0035,0.0258,0.9926
71,0.0035,0.0254,0.993
72,0.0047,0.0249,0.9931
73,0.0049,0.025,0.993
74,0.0048,0.0249,0.9929
75,0.0032,0.0256,0.9931
76,0.0042,0.0262,0.9924
77,0.0033,0.0255,0.9927
78,0.0024,0.0258,0.993
79,0.0032,0.0256,0.9929
80,0.0024,0.0256,0.9932
81,0.003,0.0261,0.9929
82,0.0027,0.0267,0.993
83,0.0026,0.0259,0.9933
84,0.0043,0.0256,0.9932
85,0.0043,0.0257,0.9932
86,0.0028,0.0265,0.9928
87,0.0026,0.0269,0.9927
88,0.002,0.0269,0.9926
89,0.0022,0.0263,0.9936
90,0.0042,0.026,0.9928
91,0.0025,0.0255,0.9935
92,0.0023,0.0267,0.9928
93,0.0017,0.0265,0.9929
94,0.0013,0.0266,0.9931
95,0.0018,0.0269,0.9929
96,0.0023,0.0266,0.9931
97,0.0067,0.0266,0.993
98,0.003,0.0263,0.993
99,0.0025,0.0253,0.9933
100,0.0025,0.0255,0.9935
