Epoch,Training loss,Test loss,Test acc
1,2.2241,2.0777,0.5559
2,1.8215,1.5883,0.4266
3,2.0838,1.4986,0.6339
4,1.4437,1.67,0.481
5,1.141,0.6919,0.8094
6,1.1305,0.5796,0.8598
7,0.4948,0.8798,0.7553
8,0.6835,0.3509,0.9029
9,0.3212,0.3065,0.9124
10,0.4568,0.4026,0.8593
11,0.2846,0.246,0.9323
12,0.2085,0.235,0.9337
13,0.204,0.2868,0.9064
14,0.3002,0.2093,0.9406
15,0.2256,0.1991,0.9415
16,0.2257,0.2394,0.9274
17,0.2606,0.1943,0.9434
18,0.1695,0.1699,0.9501
19,0.1416,0.1644,0.9495
20,0.1181,0.1594,0.9531
21,0.1069,0.1578,0.9539
22,0.13,0.1506,0.9556
23,0.1258,0.1421,0.9567
24,0.1701,0.2767,0.9082
25,0.2367,0.1416,0.9581
26,0.1266,0.1286,0.961
27,0.1305,0.1248,0.9634
28,0.1078,0.1211,0.9642
29,0.093,0.121,0.9635
30,0.0909,0.118,0.9631
31,0.0804,0.115,0.9662
32,0.0866,0.1219,0.9626
33,0.0913,0.1129,0.9663
34,0.0797,0.1062,0.9671
35,0.0845,0.126,0.9616
36,0.088,0.1115,0.9638
37,0.1105,0.1398,0.9554
38,0.11,0.1044,0.967
39,0.0836,0.1039,0.9675
40,0.0766,0.1234,0.9603
41,0.2189,0.4164,0.8757
42,0.1739,0.1087,0.9665
43,0.0961,0.0993,0.9687
44,0.0734,0.0946,0.9702
45,0.1013,0.0971,0.9688
46,0.0624,0.0924,0.9692
47,0.0614,0.0949,0.9687
48,0.0604,0.0873,0.9729
49,0.0505,0.0909,0.9714
50,0.0715,0.0924,0.9722
51,0.0621,0.0887,0.9739
52,0.0968,0.0836,0.9741
53,0.0675,0.081,0.9748
54,0.1129,0.0845,0.9732
55,0.0871,0.0765,0.9755
56,0.08,0.0787,0.976
57,0.0714,0.0768,0.9752
58,0.098,0.098,0.9679
59,0.082,0.0727,0.9783
60,0.0556,0.0724,0.9777
61,0.0722,0.0736,0.9772
62,0.0657,0.0708,0.9778
63,0.064,0.0779,0.9757
64,0.048,0.0703,0.9781
65,0.0335,0.0737,0.9768
66,0.0291,0.0734,0.9752
67,0.1553,1.1659,0.8355
68,0.5564,0.1471,0.9595
69,0.1349,0.1009,0.9706
70,0.0951,0.0916,0.9723
71,0.081,0.0893,0.9725
72,0.0811,0.0799,0.9758
73,0.0779,0.0754,0.9755
74,0.0568,0.0711,0.9775
75,0.0495,0.0663,0.9784
76,0.0531,0.0644,0.979
77,0.058,0.0674,0.9782
78,0.043,0.0648,0.9788
79,0.0759,0.0848,0.9734
80,0.0833,0.0635,0.9797
81,0.0447,0.0622,0.9804
82,0.0343,0.0605,0.9807
83,0.0403,0.0614,0.9805
84,0.0653,0.0644,0.9791
85,0.0374,0.0624,0.979
86,0.0506,0.0643,0.9796
87,0.0403,0.0633,0.9779
88,0.0322,0.0621,0.9805
89,0.0399,0.0622,0.9798
90,0.053,0.0577,0.9809
91,0.0343,0.0565,0.9805
92,0.0248,0.0558,0.981
93,0.0531,0.0547,0.9812
94,0.0436,0.0609,0.9802
95,0.067,0.0656,0.9781
96,0.0309,0.0553,0.9824
97,0.0933,0.0685,0.9794
98,0.0483,0.0519,0.9845
99,0.047,0.0532,0.9836
100,0.0353,0.0551,0.9819
