Wall time,Step,Value
1620614391.8135319,1,0.005208184011280537
1620614693.8831067,2,0.004328254610300064
1620614998.1084096,3,0.002530172932893038
1620615304.7163985,4,0.001103428192436695
1620615614.6754608,5,0.002833714708685875
1620615887.1858604,6,0.0014000883093103766
1620616124.7533891,7,0.0008991592330858111
1620616359.4214585,8,0.0006764940335415304
1620616599.0845146,9,0.0007991151069290936
1620616905.0023227,10,0.0014438936486840248
1620617213.3697095,11,0.0008791516884230077
1620617520.6133316,12,0.0006315676146186888
1620617832.1898425,13,0.0010011272970587015
1620618139.5442374,14,0.0009626123355701566
1620618447.2055166,15,0.0005367170087993145
1620618754.646994,16,0.001615420333109796
1620619062.1056826,17,0.00049117102753371
1620619371.4678917,18,0.0005989566561765969
1620619680.9236867,19,0.0005896393558941782
1620619992.1875737,20,0.0005444944254122674
1620620306.9501476,21,0.0004196825611870736
1620620622.9225976,22,0.0009627401013858616
1620620929.5283184,23,0.00046721985563635826
1620621236.4493294,24,0.0007035984308458865
1620621543.523382,25,0.0006057381979189813
1620621850.5689173,26,0.0006069023511372507
1620622157.3883836,27,0.0011199410073459148
1620622464.3095348,28,0.00039270042907446623
1620622771.483514,29,0.0004542314272839576
1620623078.111974,30,0.00047025721869431436
1620623386.4909647,31,0.0003947306249756366
1620623695.0809367,32,0.00047266334877349436
1620624003.167723,33,0.0008038668311201036
1620624310.3703759,34,0.0003023517201654613
1620624579.4012566,35,0.0006513822008855641
1620624819.4445271,36,0.00048001165851019323
1620625059.3628206,37,0.0005340793286450207
1620625300.011316,38,0.00028573686722666025
1620625537.271443,39,0.00040263295522890985
1620625796.212009,40,0.0005928321625106037
1620626105.0836682,41,0.00036268297117203474
1620626414.1977394,42,0.00040701814577914774
1620626726.1175227,43,0.00034832951496355236
1620627047.3616247,44,0.0008318346226587892
1620627370.3903012,45,0.00023114238865673542
1620627690.6831605,46,0.0005242921179160476
1620628014.862393,47,0.00019436203001532704
1620628324.1024141,48,0.00021206607925705612
1620628634.6586962,49,0.00033507251646369696
1620628944.3549955,50,0.0006430535577237606
1620629202.1642733,51,0.0002927128516603261
1620629441.1121397,52,0.0002769987331703305
1620629681.963256,53,0.00019097179756499827
1620629925.8587604,54,0.0003009440843015909
1620630166.694394,55,0.00018894443928729743
1620630406.5988646,56,0.0005416694330051541
1620630645.52988,57,0.000517318956553936
1620630888.1183226,58,0.00045895326184108853
1620631131.2586277,59,0.00029792371788062155
1620631372.8340805,60,0.00045441274414770305
1620631613.2863843,61,0.00027903521549887955
1620631855.6687732,62,0.00016915673040784895
1620632097.356786,63,0.00018507942149881274
1620632346.9061155,64,0.0005711972480639815
1620632594.3191426,65,0.00017953210044652224
1620632837.3383434,66,0.00034515696461312473
1620633080.1309118,67,0.0004510337603278458
1620633323.0391703,68,0.0005131572252139449
1620633566.0492446,69,0.00024632085114717484
1620633815.6275396,70,0.00016513862647116184
1620634054.2800078,71,0.0005253221024759114
1620634294.8688707,72,0.00018141843611374497
1620634531.9410172,73,0.000249719392741099
1620634770.3564124,74,0.0003728292358573526
1620635007.0196521,75,0.0001854869769886136
1620635244.933614,76,0.00022668595192953944
1620635514.1730783,77,0.00015799191896803677
1620635824.963478,78,0.00020124303409829736
1620636134.7646115,79,0.00018013677618000656
1620636444.4034312,80,0.0003130586410406977
1620636754.7327237,81,0.00030858960235491395
1620637064.2443142,82,0.0001768453512340784
1620637373.6968982,83,0.00022017021547071636
1620637682.5676897,84,0.000408346502808854
1620637994.6533499,85,0.00015385182632599026
1620638308.906943,86,0.0006471418309956789
1620638619.2801769,87,0.00018243769591208547
1620638928.2891448,88,0.00024266743275802583
1620639237.2525814,89,0.0002476093068253249
1620639545.9302442,90,0.00011623892351053655
1620639855.3334906,91,0.00023909355513751507
1620640163.3801801,92,0.00020765878434758633
1620640471.5717158,93,0.0001998821389861405
1620640779.5856528,94,0.0002916493976954371
1620641087.627922,95,0.00035123666748404503
1620641395.2353606,96,0.00020011168089695275
1620641702.499056,97,8.903298294171691e-05
1620642010.240234,98,0.00025613437173888087
1620642318.2029438,99,0.0002131874643964693
1620642626.2337563,100,0.00017348930123262107
