Epoch,Training loss,Test loss,Test acc
1,1.171,2.48,0.1035
2,1.6109,2.2163,0.2849
3,1.2028,2.4374,0.1009
4,1.13,2.0622,0.4115
5,1.0926,1.8458,0.4471
6,0.9238,1.9165,0.2886
7,0.8915,1.6842,0.452
8,0.8775,1.6647,0.38
9,0.5653,1.4573,0.4919
10,0.7274,1.3793,0.5997
11,0.7028,1.2621,0.6013
12,0.4789,1.0506,0.7269
13,0.8808,1.4216,0.796
14,0.4743,0.9669,0.7256
15,0.3407,0.8783,0.7344
16,0.5525,0.8418,0.8162
17,0.321,0.6914,0.8212
18,0.4456,0.6997,0.8217
19,0.4731,0.7243,0.7945
20,0.3304,0.6385,0.8231
21,0.1954,0.6055,0.8269
22,0.3794,0.629,0.826
23,0.31,0.5583,0.8654
24,0.2979,0.529,0.8664
25,0.3408,0.5071,0.8753
26,0.338,0.5306,0.8684
27,0.2843,0.4934,0.8833
28,0.2428,0.4733,0.8735
29,0.3752,0.4589,0.8789
30,0.2417,0.4312,0.8843
31,0.291,0.3876,0.9014
32,0.2436,0.3982,0.8876
33,0.3212,0.4496,0.8708
34,0.153,0.3697,0.8982
35,0.2335,0.3711,0.8978
36,0.3165,0.3847,0.9005
37,0.2605,0.3676,0.9116
38,0.1328,0.3329,0.9121
39,0.1754,0.3469,0.8972
40,0.1167,0.3737,0.8916
41,0.1699,0.3217,0.9075
42,0.2992,0.3459,0.9069
43,0.1341,0.3219,0.9075
44,0.1229,0.3013,0.9116
45,0.1936,0.3121,0.9129
46,0.1082,0.2866,0.9187
47,0.1633,0.3919,0.8676
48,0.169,0.3052,0.9122
49,0.1318,0.2724,0.9212
50,0.109,0.256,0.9289
51,0.1529,0.3493,0.8856
52,0.2038,0.2893,0.9155
53,0.1121,0.2544,0.9267
54,0.1008,0.2488,0.9272
55,0.086,0.2601,0.9198
56,0.1119,0.2258,0.932
57,0.0782,0.2297,0.9296
58,0.0737,0.2257,0.9312
59,0.1686,0.2212,0.9365
60,0.1144,0.2182,0.9377
61,0.089,0.244,0.9267
62,0.1093,0.2205,0.934
63,0.0886,0.2416,0.9276
64,0.1132,0.2276,0.9316
65,0.101,0.2039,0.9406
66,0.0881,0.2461,0.9228
67,0.0789,0.2135,0.936
68,0.2463,0.2225,0.937
69,0.0775,0.2066,0.94
70,0.0809,0.2268,0.9288
71,0.072,0.2052,0.9378
72,0.0745,0.2102,0.9362
73,0.2459,0.2306,0.9308
74,0.1149,0.2055,0.9418
75,0.078,0.2035,0.9384
76,0.1667,0.1969,0.9413
77,0.0964,0.188,0.9449
78,0.0759,0.181,0.944
79,0.0721,0.1976,0.9389
80,0.0938,0.1728,0.948
81,0.069,0.1857,0.9445
82,0.0859,0.1868,0.946
83,0.0896,0.1744,0.9466
84,0.0691,0.1758,0.9457
85,0.075,0.1673,0.9477
86,0.0638,0.1676,0.9505
87,0.0746,0.1657,0.9492
88,0.0674,0.1651,0.9499
89,0.5131,0.2113,0.9507
90,0.0941,0.2029,0.944
91,0.0882,0.17,0.9535
92,0.0818,0.1613,0.9545
93,0.0748,0.1698,0.9489
94,0.0763,0.1635,0.952
95,0.0686,0.1555,0.9541
96,0.0644,0.1566,0.9518
97,0.0872,0.1474,0.9563
98,0.0668,0.1557,0.9507
99,0.0711,0.1448,0.9567
100,0.0668,0.1498,0.9537
101,0.0712,0.1561,0.9512
102,0.0669,0.1456,0.9554
103,0.0746,0.1684,0.9457
104,0.4494,0.1801,0.9523
105,0.0718,0.1519,0.9594
106,0.0675,0.1481,0.9598
107,0.0665,0.183,0.9422
108,0.0774,0.1538,0.9531
109,0.0612,0.156,0.9524
110,0.0684,0.1717,0.9487
111,0.0698,0.131,0.9613
112,0.0537,0.1278,0.9629
113,0.0633,0.1351,0.9577
114,0.0599,0.135,0.959
115,0.0749,0.1322,0.958
116,0.0575,0.1241,0.9631
117,0.0539,0.1358,0.9583
118,0.0637,0.1455,0.9525
119,0.0493,0.1498,0.9495
120,0.0476,0.1337,0.9597
121,0.0652,0.1285,0.96
122,0.0531,0.1338,0.9587
123,0.2216,0.1318,0.9631
124,0.065,0.1269,0.962
125,0.0471,0.1234,0.964
126,0.0508,0.1281,0.9614
127,0.0549,0.1245,0.9619
128,0.0465,0.1189,0.9643
129,0.0515,0.1153,0.9656
130,0.0488,0.1192,0.9642
131,0.062,0.1242,0.9613
132,0.0653,0.1172,0.9643
133,0.0418,0.1172,0.9642
134,0.049,0.1271,0.9621
135,0.0517,0.1168,0.9649
136,0.0489,0.1262,0.9623
137,0.0516,0.1153,0.9643
138,0.043,0.1174,0.9642
139,0.0434,0.1127,0.9652
140,0.0454,0.1145,0.9656
141,0.2155,0.1435,0.9554
142,0.0533,0.1515,0.9516
143,0.0404,0.1279,0.9592
144,0.0409,0.1187,0.9618
145,0.0628,0.108,0.9669
146,0.0449,0.1141,0.9661
147,0.0482,0.1213,0.961
148,0.0406,0.1094,0.9661
149,0.0444,0.1118,0.9652
150,0.0758,0.1091,0.9666
151,0.0454,0.1115,0.966
152,0.0394,0.1081,0.9677
153,0.0348,0.1155,0.9645
154,0.0457,0.1323,0.9583
155,0.0447,0.11,0.9671
156,0.0483,0.1367,0.9546
157,0.0573,0.1049,0.9706
158,0.0346,0.1063,0.9693
159,0.0368,0.1077,0.9681
160,0.0752,0.1229,0.9622
161,0.0566,0.1,0.9691
162,0.0415,0.1054,0.9668
163,0.0414,0.1007,0.9683
164,0.037,0.1037,0.9704
165,0.0516,0.1066,0.9649
166,0.0356,0.1009,0.9697
167,0.0386,0.1026,0.9696
168,0.0378,0.1082,0.9679
169,0.2946,0.1118,0.9648
170,0.0529,0.0976,0.9707
171,0.0336,0.1043,0.9688
172,0.0407,0.1112,0.9641
173,0.0408,0.1036,0.9685
174,0.042,0.0958,0.972
175,0.0472,0.1025,0.9692
176,0.0418,0.0988,0.9705
177,0.0362,0.1055,0.9679
178,0.0508,0.1043,0.9695
179,0.0403,0.0969,0.9716
180,0.1876,0.1043,0.9706
181,0.0454,0.1048,0.9702
182,0.0326,0.111,0.968
183,0.0467,0.1092,0.9676
184,0.0448,0.1134,0.9665
185,0.045,0.1044,0.9676
186,0.0375,0.1005,0.9675
187,0.0335,0.1003,0.9691
188,0.0476,0.086,0.9752
189,0.041,0.1005,0.9697
190,0.0428,0.0918,0.9735
191,0.0414,0.093,0.9718
192,0.0422,0.0972,0.9724
193,0.0429,0.0998,0.9724
194,0.0322,0.0919,0.9721
195,0.0315,0.0985,0.9706
196,0.0426,0.0904,0.9717
197,0.034,0.0901,0.9733
198,0.0392,0.0861,0.9744
199,0.0557,0.0861,0.9747
200,0.1143,0.113,0.9622
201,0.0431,0.0986,0.9694
202,0.0447,0.0834,0.9753
203,0.0406,0.0865,0.9741
204,0.0347,0.0856,0.9748
205,0.0407,0.0831,0.9754
206,0.0301,0.0907,0.9722
207,0.0671,0.1114,0.9638
208,0.047,0.0991,0.9701
209,0.0339,0.0903,0.972
210,0.0344,0.09,0.972
211,0.0316,0.0848,0.9745
212,0.0341,0.0872,0.9727
213,0.0446,0.0798,0.9759
214,0.0336,0.0786,0.9759
215,0.0296,0.0891,0.9719
216,0.0374,0.0886,0.9711
217,0.0356,0.0797,0.9763
218,0.0374,0.0788,0.9765
219,0.0356,0.0804,0.9755
220,0.0337,0.0885,0.9726
221,0.0279,0.0842,0.9751
222,0.0373,0.0797,0.9767
223,0.0381,0.0955,0.9693
224,0.3164,0.0867,0.9757
225,0.036,0.0968,0.9732
226,0.033,0.0917,0.9745
227,0.0342,0.0834,0.9753
