Epoch,Training loss,Test loss,Test acc
1,0.3838,2.1762,0.2047
2,0.2192,1.7545,0.5324
3,0.2217,1.3676,0.5619
4,0.1408,1.3604,0.5864
5,0.0932,1.1832,0.6059
6,0.1377,0.8794,0.6503
7,0.0982,0.8861,0.6833
8,0.1068,0.6553,0.8165
9,0.0487,0.605,0.7655
10,0.1038,0.6004,0.7701
11,0.1242,0.4939,0.863
12,0.0948,0.4665,0.8521
13,0.0781,0.4892,0.8346
14,0.0566,0.468,0.8279
15,0.0739,0.3253,0.9123
16,0.0632,0.3172,0.9039
17,0.0258,0.2388,0.9349
18,0.0485,0.2276,0.9301
19,0.1282,0.3312,0.8891
20,0.0791,0.2482,0.9331
21,0.0734,0.2244,0.9407
22,0.0557,0.239,0.922
23,0.035,0.2073,0.9342
24,0.0411,0.1831,0.9452
25,0.0508,0.2169,0.9322
26,0.0403,0.2115,0.9307
27,0.0667,0.2275,0.9271
28,0.0721,0.183,0.9436
29,0.0503,0.1688,0.9525
30,0.0337,0.1563,0.9567
31,0.072,0.1591,0.961
32,0.0467,0.1496,0.9586
33,0.0303,0.1316,0.9602
34,0.0562,0.1195,0.9669
35,0.0519,0.1334,0.9608
36,0.0301,0.1425,0.9545
37,0.029,0.1175,0.9627
38,0.0445,0.1134,0.9672
39,0.0485,0.1085,0.9696
40,0.0299,0.1725,0.9384
41,0.0544,0.1076,0.9714
42,0.0406,0.1041,0.9711
43,0.0304,0.1142,0.9664
44,0.0412,0.1272,0.9626
45,0.0355,0.1186,0.9643
46,0.0344,0.1333,0.9596
47,0.0251,0.0973,0.9722
48,0.026,0.115,0.9653
49,0.026,0.0911,0.9733
50,0.0399,0.1206,0.962
51,0.0229,0.0911,0.9708
52,0.0517,0.0819,0.9754
53,0.0293,0.1043,0.969
54,0.0378,0.0802,0.978
55,0.0283,0.0991,0.9707
56,0.0356,0.0835,0.9772
57,0.0237,0.0876,0.9716
58,0.0264,0.0731,0.9785
59,0.0606,0.1163,0.9608
60,0.0257,0.0845,0.9732
61,0.0346,0.0781,0.9775
62,0.0264,0.0705,0.979
63,0.0359,0.0793,0.9742
64,0.0157,0.069,0.9786
65,0.0187,0.0737,0.9761
66,0.0305,0.0659,0.9804
67,0.0277,0.083,0.9737
68,0.0573,0.1046,0.9651
69,0.0205,0.0743,0.9773
70,0.0217,0.0723,0.9772
71,0.0189,0.0789,0.9758
72,0.0324,0.06,0.9813
73,0.0346,0.0624,0.9805
74,0.0272,0.0808,0.975
75,0.0324,0.1081,0.9657
76,0.0229,0.0721,0.9787
77,0.0218,0.0714,0.9788
78,0.0116,0.0543,0.9834
79,0.0193,0.0547,0.982
80,0.0269,0.057,0.9811
81,0.011,0.0663,0.9792
82,0.0242,0.0688,0.9793
83,0.0475,0.0557,0.9834
84,0.0244,0.0551,0.9826
85,0.0216,0.0617,0.9802
86,0.0235,0.0588,0.9823
87,0.015,0.0589,0.9811
88,0.0292,0.0633,0.9798
89,0.0237,0.0518,0.9849
90,0.0277,0.0641,0.9791
91,0.0193,0.0496,0.9847
92,0.0177,0.0519,0.9838
93,0.0165,0.0593,0.981
94,0.0231,0.0569,0.9822
95,0.02,0.0527,0.9826
96,0.0185,0.0544,0.9826
97,0.017,0.0574,0.9808
98,0.0418,0.0605,0.9802
99,0.013,0.0521,0.9841
100,0.0198,0.0503,0.9834
101,0.0227,0.0519,0.9836
102,0.0155,0.0547,0.9827
103,0.021,0.0493,0.9836
104,0.0254,0.0471,0.9845
105,0.0126,0.0531,0.9846
106,0.0374,0.0472,0.9848
107,0.0165,0.0458,0.9865
108,0.0317,0.0437,0.9863
109,0.0253,0.0505,0.9852
110,0.0303,0.0455,0.9862
111,0.026,0.0466,0.9867
112,0.0121,0.0517,0.983
113,0.007,0.0562,0.9814
114,0.016,0.0506,0.9837
115,0.0141,0.0436,0.9864
116,0.0134,0.0517,0.9836
117,0.0097,0.0457,0.9849
118,0.0223,0.0415,0.986
119,0.029,0.0512,0.9842
120,0.0172,0.0518,0.9826
121,0.0202,0.0429,0.9862
122,0.0115,0.0447,0.9849
123,0.013,0.0442,0.9861
124,0.0157,0.0555,0.9803
125,0.015,0.0463,0.9846
126,0.0075,0.05,0.9824
127,0.0345,0.0821,0.9714
128,0.0115,0.0532,0.9841
129,0.0114,0.05,0.984
130,0.0209,0.0459,0.9853
131,0.04,0.0388,0.9893
132,0.0153,0.042,0.9867
133,0.0175,0.0409,0.9871
134,0.0097,0.0446,0.9863
135,0.0116,0.0389,0.9877
136,0.0168,0.0418,0.9851
137,0.0071,0.0366,0.9878
138,0.0157,0.0407,0.9866
