Wall time,Step,Value
1621228119.1496115,19,0.10159999877214432
1621228204.8565905,43,0.10000000149011612
1621228215.5513062,46,0.10000000149011612
1621228308.2694538,72,0.17319999635219574
1621228390.2153027,95,0.18359999358654022
1621228607.996661,156,0.2572999894618988
1621228618.6267407,159,0.2517000138759613
1621228650.7306392,168,0.24079999327659607
1621228871.0907037,230,0.3086000084877014
1621228888.9504974,235,0.27469998598098755
1621228963.633198,256,0.26809999346733093
1621229006.3776715,268,0.32109999656677246
1621229027.6712885,274,0.32199999690055847
1621229152.0641248,309,0.2467000037431717
1621229159.1827676,311,0.3203999996185303
1621229187.721006,319,0.25519999861717224
1621229291.0230446,348,0.2782000005245209
1621229361.9922035,368,0.34060001373291016
1621229553.8255398,422,0.33739998936653137
1621229693.835195,461,0.3546000123023987
1621229744.0645711,475,0.36570000648498535
1621229966.8568525,537,0.3986000120639801
1621230063.4844875,564,0.3521000146865845
1621230120.669461,580,0.39239999651908875
1621230145.6572845,587,0.3995000123977661
1621230149.2206044,588,0.38960000872612
1621230267.4345238,621,0.4083999991416931
1621230317.7407613,635,0.41690000891685486
1621230364.8707924,648,0.39010000228881836
1621230416.132958,662,0.41999998688697815
1621230452.2834928,672,0.4489000141620636
1621230611.9389822,715,0.4124000072479248
1621230641.185301,723,0.39640000462532043
1621230670.0362265,731,0.4174000024795532
1621230798.5292375,766,0.42969998717308044
1621230812.8834035,770,0.44589999318122864
1621230820.013384,772,0.445499986410141
1621230870.903166,786,0.44850000739097595
1621230878.1908247,788,0.4194999933242798
1621230903.6542814,795,0.4519999921321869
1621230932.7490923,803,0.45260000228881836
1621230954.6183286,809,0.37940001487731934
1621231056.3141272,837,0.47350001335144043
1621231456.5524893,946,0.4722999930381775
1621231551.8802853,972,0.4731000065803528
1621231555.4469807,973,0.4447000026702881
1621231577.0342944,979,0.44369998574256897
1621231598.5374835,985,0.4893999993801117
1621231663.4469812,1003,0.4860999882221222
1621231674.2983496,1006,0.47440001368522644
1621231707.0517786,1015,0.4726000130176544
1621231884.9683647,1064,0.4724000096321106
1621231895.782504,1067,0.4894999861717224
1621231939.135264,1079,0.48019999265670776
1621231993.2297664,1094,0.4781999886035919
1621232014.8030553,1100,0.4821999967098236
1621232032.8063138,1105,0.5027999877929688
1621232219.4134731,1157,0.47510001063346863
1621232237.264524,1162,0.48080000281333923
1621232240.8238485,1163,0.49219998717308044
1621232305.3204772,1181,0.5120999813079834
1621232351.8082483,1194,0.5029000043869019
1621232538.370725,1245,0.5090000033378601
1621232605.752359,1262,0.5135999917984009
1621232828.705089,1317,0.5026999711990356
1621232840.9237561,1320,0.5196999907493591
1621232898.860079,1334,0.4968999922275543
1621232915.5168378,1338,0.5379999876022339
1621233115.6707633,1386,0.5303000211715698
1621233146.5307722,1393,0.5349000096321106
1621233237.5248098,1415,0.5322999954223633
1621233286.0601642,1427,0.5224999785423279
1621233326.6672347,1437,0.5442000031471252
1621233450.604667,1467,0.5386000275611877
1621233497.123448,1478,0.5257999897003174
1621233557.3864422,1492,0.5026000142097473
1621233691.1341994,1524,0.5580000281333923
1621233808.9925966,1553,0.5523999929428101
1621233875.043637,1569,0.5533999800682068
1621233941.7300277,1585,0.52920001745224
1621233958.4433901,1589,0.5546000003814697
1621234028.896205,1606,0.5076000094413757
1621234172.7438958,1641,0.5480999946594238
1621234346.0782306,1683,0.47350001335144043
1621234383.5951812,1692,0.5647000074386597
1621234429.7621882,1703,0.5629000067710876
1621234459.1607292,1710,0.5220000147819519
1621234498.3461344,1719,0.5698000192642212
1621234556.221313,1733,0.5687000155448914
1621234564.5614126,1735,0.5579000115394592
1621234576.4044838,1738,0.5618000030517578
1621234757.7920668,1782,0.5573999881744385
1621234946.130323,1827,0.5479999780654907
1621235019.151908,1845,0.5590999722480774
1621235056.9035287,1854,0.5238999724388123
1621235109.2899597,1867,0.5400999784469604
1621235121.51291,1870,0.580299973487854
1621235153.9676979,1878,0.5311999917030334
1621235318.3077977,1918,0.5756000280380249
1621235388.256804,1935,0.5641999840736389
1621235429.7964997,1945,0.560699999332428
1621235442.3555722,1948,0.5835000276565552
1621235660.06962,2002,0.5824999809265137
1621235707.9413369,2014,0.5281000137329102
1621235801.2197628,2037,0.5446000099182129
1621235967.3376117,2077,0.5598999857902527
1621235971.3995156,2078,0.545799970626831
1621236003.8480957,2086,0.5626999735832214
1621236020.4396784,2090,0.5569000244140625
1621236048.8791397,2097,0.6019999980926514
1621236268.8915026,2150,0.5863000154495239
1621236299.1753006,2157,0.5529999732971191
1621236429.7675042,2188,0.5974000096321106
1621236446.2159836,2192,0.5909000039100647
1621236478.2519686,2200,0.5824999809265137
1621236511.0899653,2208,0.5436000227928162
1621236529.2339585,2212,0.5907999873161316
1621236608.1963863,2232,0.5875999927520752
1621236628.3568501,2237,0.6118000149726868
1621236632.4177752,2238,0.5647000074386597
1621236714.0905461,2258,0.6133999824523926
1621236734.5313404,2263,0.6116999983787537
1621236813.251011,2282,0.5471000075340271
1621236879.4598932,2298,0.6097999811172485
1621236921.767658,2308,0.5916000008583069
