Wall time,Step,Value
1621147031.3955257,1,0.10000000149011612
1621147069.851919,2,0.10000000149011612
1621147108.5578945,3,0.1956000030040741
1621147147.4250143,4,0.23899999260902405
1621147186.5023012,5,0.2240999937057495
1621147225.880944,6,0.21629999577999115
1621147265.2257211,7,0.314300000667572
1621147304.823756,8,0.3443000018596649
1621147344.921315,9,0.3160000145435333
1621147384.8295138,10,0.2583000063896179
1621147424.705926,11,0.3156999945640564
1621147464.6647656,12,0.3662000000476837
1621147504.8166254,13,0.313400000333786
1621147544.8143582,14,0.446399986743927
1621147585.3294444,15,0.3497999906539917
1621147625.6205974,16,0.3865000009536743
1621147666.076416,17,0.4259999990463257
1621147706.4477723,18,0.4422000050544739
1621147746.8275352,19,0.42649999260902405
1621147787.1735735,20,0.3880000114440918
1621147827.829529,21,0.4374000132083893
1621147868.1499214,22,0.40639999508857727
1621147908.381704,23,0.4235000014305115
1621147949.2524736,24,0.42309999465942383
1621147989.7771463,25,0.4041999876499176
1621148030.2045825,26,0.45649999380111694
1621148070.8183713,27,0.5236999988555908
1621148111.465828,28,0.5098999738693237
1621148151.8661451,29,0.4417000114917755
1621148192.587721,30,0.5249999761581421
1621148233.2332628,31,0.43070000410079956
1621148273.5794573,32,0.4805999994277954
1621148314.2268503,33,0.42640000581741333
1621148354.7506382,34,0.4885999858379364
1621148395.286394,35,0.5144000053405762
1621148435.7627223,36,0.5202000141143799
1621148476.6058915,37,0.4366999864578247
1621148516.9606125,38,0.5289000272750854
1621148557.9131706,39,0.5196999907493591
1621148598.5322683,40,0.47540000081062317
1621148638.8853326,41,0.49790000915527344
1621148679.4196613,42,0.5273000001907349
1621148720.0379543,43,0.5073999762535095
1621148760.4399042,44,0.5665000081062317
1621148800.8703585,45,0.5444999933242798
1621148841.7728684,46,0.49549999833106995
1621148882.261974,47,0.5565000176429749
1621148922.6103733,48,0.5759000182151794
1621148963.3285718,49,0.548799991607666
1621149003.7450454,50,0.5218999981880188
